motion,frame_count,start_frame,end_frame_exclusive,output_npz,npz_size_bytes,npz_sha256,z_spread_mean_m,z_spread_max_m,left_ankle_mean_z_m,right_ankle_mean_z_m
fallAndGetUp1_subject5,299,2990,3289,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_loop_full_bundle_fk_repaired_split_motion_npz/motions/fallAndGetUp1_subject5/motion.npz,693082,664c6b93ce0c052d57336382f99b51b725b314db2feac359378de9c070704002,1.2313718795776367,1.248305320739746,0.05336602404713631,0.053552862256765366
fallAndGetUp2_subject2,299,3289,3588,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_loop_full_bundle_fk_repaired_split_motion_npz/motions/fallAndGetUp2_subject2/motion.npz,693082,4ae3b63872faf2703b6fefa497578eff4082f053cd0f9e82a336f5c18589ff0e,1.178953766822815,1.2432794570922852,0.050440799444913864,0.03879902511835098
fallAndGetUp2_subject3,299,3588,3887,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_loop_full_bundle_fk_repaired_split_motion_npz/motions/fallAndGetUp2_subject3/motion.npz,693082,309868b13c4329df9392210d371cc3cec5af0ab0be0295f09ffa456e23289008,1.1129094362258911,1.245328664779663,0.0431603379547596,0.043487995862960815
fallAndGetUp3_subject1,299,3887,4186,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_loop_full_bundle_fk_repaired_split_motion_npz/motions/fallAndGetUp3_subject1/motion.npz,693082,37e021d9724849a6e944bf16cfb5653080e935d3f806412482e0c5fdcb40f33b,1.237533450126648,1.2517722845077515,0.06613672524690628,0.05095410719513893
fight1_subject2,299,4186,4485,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_loop_full_bundle_fk_repaired_split_motion_npz/motions/fight1_subject2/motion.npz,693082,e3c1f2f820e97f6e998f09c63142a5a397aedb57ca181e1f9f8838c863903af7,1.20954430103302,1.2413074970245361,0.06035745516419411,0.05264651030302048
fight1_subject3,299,4485,4784,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_loop_full_bundle_fk_repaired_split_motion_npz/motions/fight1_subject3/motion.npz,693082,ba6a164662be299fbecad828a1c53b7806303693cd084be114ff1ea1de373306,1.1820405721664429,1.2432122230529785,0.056853726506233215,0.0615122988820076
fight1_subject5,299,4784,5083,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_loop_full_bundle_fk_repaired_split_motion_npz/motions/fight1_subject5/motion.npz,693082,4d98fcf5ce89fa348b06fe13399cef4fec17977aab792398745dbbebfd00bac1,1.1756861209869385,1.248604416847229,0.06516122817993164,0.051898155361413956
fightAndSports1_subject1,299,5083,5382,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_loop_full_bundle_fk_repaired_split_motion_npz/motions/fightAndSports1_subject1/motion.npz,693082,4e92ae797666169a773f65eef353a171b13f37dd6693800e6aa8fc7e7ba8c083,1.247505784034729,1.2534520626068115,0.04658196121454239,0.17622172832489014
fightAndSports1_subject4,299,5382,5681,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_loop_full_bundle_fk_repaired_split_motion_npz/motions/fightAndSports1_subject4/motion.npz,693082,e6a6a9c13cdfa830595b4bc854b0144f8da843dcd458d12fe15d17e733ce980c,1.2388994693756104,1.2468572854995728,0.041755542159080505,0.05289950966835022
jumps1_subject1,299,5681,5980,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_loop_full_bundle_fk_repaired_split_motion_npz/motions/jumps1_subject1/motion.npz,693082,715cadc032dfbdd17e1947ca438e34af6ff4525b83e66b5795b38e987596f5fa,1.2374801635742188,1.2502508163452148,0.0567094162106514,0.049129918217659
jumps1_subject2,299,5980,6279,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_loop_full_bundle_fk_repaired_split_motion_npz/motions/jumps1_subject2/motion.npz,693082,15e4a3c908425ed9cfefab6e410d1c7a684e0fdb2602267809ef659f9a2375c0,1.226592779159546,1.2400383949279785,0.1394355595111847,0.03890575096011162
jumps1_subject5,299,6279,6578,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_loop_full_bundle_fk_repaired_split_motion_npz/motions/jumps1_subject5/motion.npz,693082,ec361e12b0e7e650caae7f6ce83c5718b192ad3a823e9db4bb54da7a693dbf4d,1.2039172649383545,1.2490122318267822,0.058828093111515045,0.18895088136196136
run1_subject2,299,6578,6877,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_loop_full_bundle_fk_repaired_split_motion_npz/motions/run1_subject2/motion.npz,693082,0c88e2fd59a0043b8fa12e0e1e5f78e6d0c6755216245bc43534b9655b678f67,1.22660493850708,1.237750768661499,0.04448235407471657,0.03894675523042679
run1_subject5,299,6877,7176,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_loop_full_bundle_fk_repaired_split_motion_npz/motions/run1_subject5/motion.npz,693082,70ad6eed63d14b144859dedb3d810a8bf277b73ba7be1132f09ada8be1b80d0f,1.2222651243209839,1.248045563697815,0.051386553794145584,0.057067107409238815
run2_subject1,299,7176,7475,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_loop_full_bundle_fk_repaired_split_motion_npz/motions/run2_subject1/motion.npz,693082,703cb78e772dc6dd04537a6ec6e2d89843f650674c39fb9b66935016b6328e9a,1.226410984992981,1.2513777017593384,0.05512937903404236,0.051763828843832016
run2_subject4,299,7475,7774,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_loop_full_bundle_fk_repaired_split_motion_npz/motions/run2_subject4/motion.npz,693082,054acb24671c1b2e5729702e21793124ac3712e2f8d6b03e4ba2932f0bcf6d00,1.1937748193740845,1.2468961477279663,0.0821666345000267,0.08366239070892334
sprint1_subject2,299,7774,8073,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_loop_full_bundle_fk_repaired_split_motion_npz/motions/sprint1_subject2/motion.npz,693082,a19a981d73cc789a18eabb95facce495cf7af7966454a4990d57bf625f5b26d9,1.2272931337356567,1.2423139810562134,0.06056149676442146,0.05050100386142731
sprint1_subject4,299,8073,8372,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_loop_full_bundle_fk_repaired_split_motion_npz/motions/sprint1_subject4/motion.npz,693082,a44c374742fa1f0fcbaffc0b230e7fad64f223f74eab6c20542d232e13f9cf7f,1.236261248588562,1.2462713718414307,0.04402884840965271,0.051387641578912735
walk1_subject1,299,8372,8671,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_loop_full_bundle_fk_repaired_split_motion_npz/motions/walk1_subject1/motion.npz,693082,d495f3a5e94ba4799a233227c9b64bac791b214ab458e6fe026b6533e77c5476,1.2378766536712646,1.250506043434143,0.05408383533358574,0.058071430772542953
walk1_subject2,299,8671,8970,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_loop_full_bundle_fk_repaired_split_motion_npz/motions/walk1_subject2/motion.npz,693082,acd487c65893b1c30604dac9c79baa088fff120147ca0eccb525ff49afa83522,1.2275519371032715,1.2433797121047974,0.04904942214488983,0.0448901504278183
walk1_subject5,299,8970,9269,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_loop_full_bundle_fk_repaired_split_motion_npz/motions/walk1_subject5/motion.npz,693082,e1b95c4e08720196dd72710760330ff3d9c43a671e2b8f41608bcedb40b37b5a,1.2247334718704224,1.247402310371399,0.056815896183252335,0.05088884383440018
walk2_subject1,299,9269,9568,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_loop_full_bundle_fk_repaired_split_motion_npz/motions/walk2_subject1/motion.npz,693082,7b754a8b680bbe501592c38c9cce4687d40c1742c52e8730e07478cf5f25e5e6,1.2404189109802246,1.2513487339019775,0.05888998880982399,0.0560004822909832
walk2_subject3,299,9568,9867,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_loop_full_bundle_fk_repaired_split_motion_npz/motions/walk2_subject3/motion.npz,693082,f9e7564c03ac0e0f400a6df8f8f8f3a0178619da376b2fd3831c02ec697c723e,1.230483055114746,1.2413341999053955,0.041470229625701904,0.04286698251962662
walk2_subject4,299,9867,10166,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_loop_full_bundle_fk_repaired_split_motion_npz/motions/walk2_subject4/motion.npz,693082,d8b34d39fddadad7eb6a88d87274db811090b2bd34939d1c0b22613c129f1d2f,1.2437974214553833,1.246412992477417,0.04111628234386444,0.04023158177733421
walk3_subject1,299,10166,10465,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_loop_full_bundle_fk_repaired_split_motion_npz/motions/walk3_subject1/motion.npz,693082,997421678cc7543e84e1ccfd2ee80f8fb5a8c14a90cc944e85165c17be8b50d1,1.242315649986267,1.25244140625,0.05113793537020683,0.053883496671915054
walk3_subject2,299,10465,10764,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_loop_full_bundle_fk_repaired_split_motion_npz/motions/walk3_subject2/motion.npz,693082,26e1a3c9e3970893af54f366f993ab2f7b53eb4960aee821f5c9e421e3d0ef91,1.216173529624939,1.233850359916687,0.04459971934556961,0.037965405732393265
walk3_subject3,299,10764,11063,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_loop_full_bundle_fk_repaired_split_motion_npz/motions/walk3_subject3/motion.npz,693082,2ed6538dba322a9439cad870c9041252c5f6102f8e3aca34d33d8993c71b382f,1.2048476934432983,1.2423018217086792,0.06266947090625763,0.05635222792625427
walk3_subject4,299,11063,11362,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_loop_full_bundle_fk_repaired_split_motion_npz/motions/walk3_subject4/motion.npz,693082,1c4c06d1b61a1ba77f7ebc68ca89156ea513f628aaaf3db92d347cf6e951b9f8,1.2337265014648438,1.2470768690109253,0.05790727585554123,0.0640912875533104
walk3_subject5,299,11362,11661,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_loop_full_bundle_fk_repaired_split_motion_npz/motions/walk3_subject5/motion.npz,693082,367905db6971c2838f29c21fd68535391dfb399fa1f4ec1691697fee7375d25d,1.087217926979065,1.2465375661849976,0.06464864313602448,0.0557151660323143
walk4_subject1,299,11661,11960,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_loop_full_bundle_fk_repaired_split_motion_npz/motions/walk4_subject1/motion.npz,693082,8ad8159db1c30e7a8fd74d8502bd3849288a94ad0016cc71c0090342b7564993,1.2116601467132568,1.2518707513809204,0.0507948137819767,0.0496026836335659
