sample_id	source_motion	start_timestep	split	accepted	state_shape	latent_shape	token_shape	latent_source	latent_abs_mean	latent_std	finite
walk1_subject1_frames_1_180_state_fixture_window_0011	walk1_subject1_frames_1_180_state_fixture	110	train	True	[21, 99]	[21, 32]	[21, 131]	debug_tiny_vae_mu_nonzero_synthetic_teacher	0.12970251748560085	0.17223854826248547	True
walk1_subject1_frames_1_180_state_fixture_window_0012	walk1_subject1_frames_1_180_state_fixture	120	train	True	[21, 99]	[21, 32]	[21, 131]	debug_tiny_vae_mu_nonzero_synthetic_teacher	0.1284942282072734	0.17302407579316187	True
walk1_subject1_frames_1_180_state_fixture_window_0013	walk1_subject1_frames_1_180_state_fixture	130	train	True	[21, 99]	[21, 32]	[21, 131]	debug_tiny_vae_mu_nonzero_synthetic_teacher	0.12647011087115279	0.17238351834428844	True
walk1_subject1_frames_1_180_state_fixture_window_0014	walk1_subject1_frames_1_180_state_fixture	140	train	True	[21, 99]	[21, 32]	[21, 131]	debug_tiny_vae_mu_nonzero_synthetic_teacher	0.133889503121498	0.18279538335175421	True
walk1_subject1_frames_1_180_state_fixture_window_0015	walk1_subject1_frames_1_180_state_fixture	150	train	True	[21, 99]	[21, 32]	[21, 131]	debug_tiny_vae_mu_nonzero_synthetic_teacher	0.1469316755094388	0.19816689102426435	True
walk1_subject1_frames_1_180_state_fixture_window_0016	walk1_subject1_frames_1_180_state_fixture	160	train	True	[21, 99]	[21, 32]	[21, 131]	debug_tiny_vae_mu_nonzero_synthetic_teacher	0.15575165242106387	0.20829568650714883	True
walk1_subject1_frames_1_180_state_fixture_window_0017	walk1_subject1_frames_1_180_state_fixture	170	train	True	[21, 99]	[21, 32]	[21, 131]	debug_tiny_vae_mu_nonzero_synthetic_teacher	0.1640598666715613	0.21901219018356075	True
walk1_subject1_frames_1_180_state_fixture_window_0018	walk1_subject1_frames_1_180_state_fixture	180	train	True	[21, 99]	[21, 32]	[21, 131]	debug_tiny_vae_mu_nonzero_synthetic_teacher	0.15541457052209548	0.20955808282521074	True
walk1_subject1_frames_1_180_state_fixture_window_0019	walk1_subject1_frames_1_180_state_fixture	190	train	True	[21, 99]	[21, 32]	[21, 131]	debug_tiny_vae_mu_nonzero_synthetic_teacher	0.1360904421883225	0.18325576625380388	True
walk1_subject1_frames_1_180_state_fixture_window_0020	walk1_subject1_frames_1_180_state_fixture	200	train	True	[21, 99]	[21, 32]	[21, 131]	debug_tiny_vae_mu_nonzero_synthetic_teacher	0.13108528535147862	0.1758070478030042	True
walk1_subject1_frames_1_180_state_fixture_window_0021	walk1_subject1_frames_1_180_state_fixture	210	train	True	[21, 99]	[21, 32]	[21, 131]	debug_tiny_vae_mu_nonzero_synthetic_teacher	0.1412871926953639	0.19273550191659278	True
walk1_subject1_frames_1_180_state_fixture_window_0022	walk1_subject1_frames_1_180_state_fixture	220	train	True	[21, 99]	[21, 32]	[21, 131]	debug_tiny_vae_mu_nonzero_synthetic_teacher	0.206828830932777	0.28328289386627725	True
walk1_subject1_frames_1_180_state_fixture_window_0023	walk1_subject1_frames_1_180_state_fixture	230	train	True	[21, 99]	[21, 32]	[21, 131]	debug_tiny_vae_mu_nonzero_synthetic_teacher	0.25402539274710717	0.32985907932114544	True
walk1_subject1_frames_1_180_state_fixture_window_0024	walk1_subject1_frames_1_180_state_fixture	240	train	True	[21, 99]	[21, 32]	[21, 131]	debug_tiny_vae_mu_nonzero_synthetic_teacher	0.20080107364836813	0.27004507169414854	True
walk1_subject1_frames_1_180_state_fixture_window_0025	walk1_subject1_frames_1_180_state_fixture	250	train	True	[21, 99]	[21, 32]	[21, 131]	debug_tiny_vae_mu_nonzero_synthetic_teacher	0.15159002865991733	0.20163215684947963	True
walk1_subject1_frames_1_180_state_fixture_window_0026	walk1_subject1_frames_1_180_state_fixture	260	train	True	[21, 99]	[21, 32]	[21, 131]	debug_tiny_vae_mu_nonzero_synthetic_teacher	0.15182710015713902	0.2006313984034715	True
walk1_subject1_frames_1_180_state_fixture_window_0027	walk1_subject1_frames_1_180_state_fixture	270	train	True	[21, 99]	[21, 32]	[21, 131]	debug_tiny_vae_mu_nonzero_synthetic_teacher	0.143777865441128	0.18763736242376097	True
run2_subject1_frames_1_180_state_fixture_window_0000	run2_subject1_frames_1_180_state_fixture	0	validation	True	[21, 99]	[21, 32]	[21, 131]	debug_tiny_vae_mu_nonzero_synthetic_teacher	0.13159196848365745	0.17333020941313385	True
run2_subject1_frames_1_180_state_fixture_window_0001	run2_subject1_frames_1_180_state_fixture	10	validation	True	[21, 99]	[21, 32]	[21, 131]	debug_tiny_vae_mu_nonzero_synthetic_teacher	0.12486404331173703	0.1657888883091028	True
run2_subject1_frames_1_180_state_fixture_window_0002	run2_subject1_frames_1_180_state_fixture	20	validation	True	[21, 99]	[21, 32]	[21, 131]	debug_tiny_vae_mu_nonzero_synthetic_teacher	0.12330183161871641	0.16416054483395937	True
run2_subject1_frames_1_180_state_fixture_window_0003	run2_subject1_frames_1_180_state_fixture	30	validation	True	[21, 99]	[21, 32]	[21, 131]	debug_tiny_vae_mu_nonzero_synthetic_teacher	0.1229953603705369	0.16391105032537728	True
run2_subject1_frames_1_180_state_fixture_window_0004	run2_subject1_frames_1_180_state_fixture	40	validation	True	[21, 99]	[21, 32]	[21, 131]	debug_tiny_vae_mu_nonzero_synthetic_teacher	0.12337643432103851	0.1644566998576831	True
run2_subject1_frames_1_180_state_fixture_window_0005	run2_subject1_frames_1_180_state_fixture	50	validation	True	[21, 99]	[21, 32]	[21, 131]	debug_tiny_vae_mu_nonzero_synthetic_teacher	0.1239351249574351	0.16518397963274295	True
run2_subject1_frames_1_180_state_fixture_window_0006	run2_subject1_frames_1_180_state_fixture	60	validation	True	[21, 99]	[21, 32]	[21, 131]	debug_tiny_vae_mu_nonzero_synthetic_teacher	0.1236619466106363	0.16486173052130254	True
run2_subject1_frames_1_180_state_fixture_window_0007	run2_subject1_frames_1_180_state_fixture	70	validation	True	[21, 99]	[21, 32]	[21, 131]	debug_tiny_vae_mu_nonzero_synthetic_teacher	0.12307027595428129	0.16419374105742582	True
run2_subject1_frames_1_180_state_fixture_window_0008	run2_subject1_frames_1_180_state_fixture	80	validation	True	[21, 99]	[21, 32]	[21, 131]	debug_tiny_vae_mu_nonzero_synthetic_teacher	0.12269332963790346	0.1637982071502721	True
run2_subject1_frames_1_180_state_fixture_window_0009	run2_subject1_frames_1_180_state_fixture	90	validation	True	[21, 99]	[21, 32]	[21, 131]	debug_tiny_vae_mu_nonzero_synthetic_teacher	0.12255401622747913	0.1636773095897998	True
run2_subject1_frames_1_180_state_fixture_window_0010	run2_subject1_frames_1_180_state_fixture	100	validation	True	[21, 99]	[21, 32]	[21, 131]	debug_tiny_vae_mu_nonzero_synthetic_teacher	0.12304994591838858	0.1642270964840314	True
run2_subject1_frames_1_180_state_fixture_window_0011	run2_subject1_frames_1_180_state_fixture	110	validation	True	[21, 99]	[21, 32]	[21, 131]	debug_tiny_vae_mu_nonzero_synthetic_teacher	0.12337594259519219	0.1650820149380166	True
run2_subject1_frames_1_180_state_fixture_window_0012	run2_subject1_frames_1_180_state_fixture	120	validation	True	[21, 99]	[21, 32]	[21, 131]	debug_tiny_vae_mu_nonzero_synthetic_teacher	0.12707941557995842	0.17098751496139164	True
run2_subject1_frames_1_180_state_fixture_window_0013	run2_subject1_frames_1_180_state_fixture	130	validation	True	[21, 99]	[21, 32]	[21, 131]	debug_tiny_vae_mu_nonzero_synthetic_teacher	0.13759076073377705	0.184982352499733	True
run2_subject1_frames_1_180_state_fixture_window_0014	run2_subject1_frames_1_180_state_fixture	140	validation	True	[21, 99]	[21, 32]	[21, 131]	debug_tiny_vae_mu_nonzero_synthetic_teacher	0.1381096601405824	0.1871544721401617	True
run2_subject1_frames_1_180_state_fixture_window_0015	run2_subject1_frames_1_180_state_fixture	150	validation	True	[21, 99]	[21, 32]	[21, 131]	debug_tiny_vae_mu_nonzero_synthetic_teacher	0.1302859406936304	0.17856655693160012	True
run2_subject1_frames_1_180_state_fixture_window_0016	run2_subject1_frames_1_180_state_fixture	160	validation	True	[21, 99]	[21, 32]	[21, 131]	debug_tiny_vae_mu_nonzero_synthetic_teacher	0.1318535091275061	0.1805479710111711	True
run2_subject1_frames_1_180_state_fixture_window_0017	run2_subject1_frames_1_180_state_fixture	170	validation	True	[21, 99]	[21, 32]	[21, 131]	debug_tiny_vae_mu_nonzero_synthetic_teacher	0.1377485942738574	0.18789650387846019	True
run2_subject1_frames_1_180_state_fixture_window_0018	run2_subject1_frames_1_180_state_fixture	180	validation	True	[21, 99]	[21, 32]	[21, 131]	debug_tiny_vae_mu_nonzero_synthetic_teacher	0.14118346293218478	0.1918590060433723	True
run2_subject1_frames_1_180_state_fixture_window_0019	run2_subject1_frames_1_180_state_fixture	190	validation	True	[21, 99]	[21, 32]	[21, 131]	debug_tiny_vae_mu_nonzero_synthetic_teacher	0.14168447842183968	0.19253867242161496	True
run2_subject1_frames_1_180_state_fixture_window_0020	run2_subject1_frames_1_180_state_fixture	200	validation	True	[21, 99]	[21, 32]	[21, 131]	debug_tiny_vae_mu_nonzero_synthetic_teacher	0.14103143630338655	0.1918522201243363	True
run2_subject1_frames_1_180_state_fixture_window_0021	run2_subject1_frames_1_180_state_fixture	210	validation	True	[21, 99]	[21, 32]	[21, 131]	debug_tiny_vae_mu_nonzero_synthetic_teacher	0.1416145607197125	0.19251326384865122	True
run2_subject1_frames_1_180_state_fixture_window_0022	run2_subject1_frames_1_180_state_fixture	220	validation	True	[21, 99]	[21, 32]	[21, 131]	debug_tiny_vae_mu_nonzero_synthetic_teacher	0.14265543640968167	0.19359133412403837	True
run2_subject1_frames_1_180_state_fixture_window_0023	run2_subject1_frames_1_180_state_fixture	230	validation	True	[21, 99]	[21, 32]	[21, 131]	debug_tiny_vae_mu_nonzero_synthetic_teacher	0.14491995665940477	0.19528654995417527	True
run2_subject1_frames_1_180_state_fixture_window_0024	run2_subject1_frames_1_180_state_fixture	240	validation	True	[21, 99]	[21, 32]	[21, 131]	debug_tiny_vae_mu_nonzero_synthetic_teacher	0.15334975492996386	0.2035999082761101	True
run2_subject1_frames_1_180_state_fixture_window_0025	run2_subject1_frames_1_180_state_fixture	250	validation	True	[21, 99]	[21, 32]	[21, 131]	debug_tiny_vae_mu_nonzero_synthetic_teacher	0.16411978657942244	0.21339195650154374	True
run2_subject1_frames_1_180_state_fixture_window_0026	run2_subject1_frames_1_180_state_fixture	260	validation	True	[21, 99]	[21, 32]	[21, 131]	debug_tiny_vae_mu_nonzero_synthetic_teacher	0.17824738303482132	0.2396442227551299	True
run2_subject1_frames_1_180_state_fixture_window_0027	run2_subject1_frames_1_180_state_fixture	270	validation	True	[21, 99]	[21, 32]	[21, 131]	debug_tiny_vae_mu_nonzero_synthetic_teacher	0.31034029879845637	0.432208237000107	True
jumps1_subject1_frames_1_180_state_fixture_window_0000	jumps1_subject1_frames_1_180_state_fixture	0	test	True	[21, 99]	[21, 32]	[21, 131]	debug_tiny_vae_mu_nonzero_synthetic_teacher	0.1285789119200282	0.17013401581761375	True
jumps1_subject1_frames_1_180_state_fixture_window_0001	jumps1_subject1_frames_1_180_state_fixture	10	test	True	[21, 99]	[21, 32]	[21, 131]	debug_tiny_vae_mu_nonzero_synthetic_teacher	0.1261394132376327	0.16772975194007875	True
jumps1_subject1_frames_1_180_state_fixture_window_0002	jumps1_subject1_frames_1_180_state_fixture	20	test	True	[21, 99]	[21, 32]	[21, 131]	debug_tiny_vae_mu_nonzero_synthetic_teacher	0.12550353149362353	0.16698092382543822	True
jumps1_subject1_frames_1_180_state_fixture_window_0003	jumps1_subject1_frames_1_180_state_fixture	30	test	True	[21, 99]	[21, 32]	[21, 131]	debug_tiny_vae_mu_nonzero_synthetic_teacher	0.12527684687284774	0.16654803666870258	True
jumps1_subject1_frames_1_180_state_fixture_window_0004	jumps1_subject1_frames_1_180_state_fixture	40	test	True	[21, 99]	[21, 32]	[21, 131]	debug_tiny_vae_mu_nonzero_synthetic_teacher	0.1249368084453246	0.1660466527141431	True
jumps1_subject1_frames_1_180_state_fixture_window_0005	jumps1_subject1_frames_1_180_state_fixture	50	test	True	[21, 99]	[21, 32]	[21, 131]	debug_tiny_vae_mu_nonzero_synthetic_teacher	0.12448548703728843	0.16545583939579933	True
jumps1_subject1_frames_1_180_state_fixture_window_0006	jumps1_subject1_frames_1_180_state_fixture	60	test	True	[21, 99]	[21, 32]	[21, 131]	debug_tiny_vae_mu_nonzero_synthetic_teacher	0.12428045882067333	0.16510257637090672	True
jumps1_subject1_frames_1_180_state_fixture_window_0007	jumps1_subject1_frames_1_180_state_fixture	70	test	True	[21, 99]	[21, 32]	[21, 131]	debug_tiny_vae_mu_nonzero_synthetic_teacher	0.12479290486052855	0.1657315203789983	True
jumps1_subject1_frames_1_180_state_fixture_window_0008	jumps1_subject1_frames_1_180_state_fixture	80	test	True	[21, 99]	[21, 32]	[21, 131]	debug_tiny_vae_mu_nonzero_synthetic_teacher	0.1264693837951026	0.16786410442662347	True
jumps1_subject1_frames_1_180_state_fixture_window_0009	jumps1_subject1_frames_1_180_state_fixture	90	test	True	[21, 99]	[21, 32]	[21, 131]	debug_tiny_vae_mu_nonzero_synthetic_teacher	0.13944325483767206	0.18414691641294587	True
jumps1_subject1_frames_1_180_state_fixture_window_0010	jumps1_subject1_frames_1_180_state_fixture	100	test	True	[21, 99]	[21, 32]	[21, 131]	debug_tiny_vae_mu_nonzero_synthetic_teacher	0.18068423703689837	0.2350931341058004	True
jumps1_subject1_frames_1_180_state_fixture_window_0011	jumps1_subject1_frames_1_180_state_fixture	110	test	True	[21, 99]	[21, 32]	[21, 131]	debug_tiny_vae_mu_nonzero_synthetic_teacher	0.1891356475091362	0.24552924066729193	True
jumps1_subject1_frames_1_180_state_fixture_window_0012	jumps1_subject1_frames_1_180_state_fixture	120	test	True	[21, 99]	[21, 32]	[21, 131]	debug_tiny_vae_mu_nonzero_synthetic_teacher	0.15915757165029867	0.20886375546994101	True
jumps1_subject1_frames_1_180_state_fixture_window_0013	jumps1_subject1_frames_1_180_state_fixture	130	test	True	[21, 99]	[21, 32]	[21, 131]	debug_tiny_vae_mu_nonzero_synthetic_teacher	0.1559857996513269	0.20877172570532793	True
jumps1_subject1_frames_1_180_state_fixture_window_0014	jumps1_subject1_frames_1_180_state_fixture	140	test	True	[21, 99]	[21, 32]	[21, 131]	debug_tiny_vae_mu_nonzero_synthetic_teacher	0.14554295014559535	0.1967750202913857	True
jumps1_subject1_frames_1_180_state_fixture_window_0015	jumps1_subject1_frames_1_180_state_fixture	150	test	True	[21, 99]	[21, 32]	[21, 131]	debug_tiny_vae_mu_nonzero_synthetic_teacher	0.14814130947758844	0.19215510981905187	True
jumps1_subject1_frames_1_180_state_fixture_window_0016	jumps1_subject1_frames_1_180_state_fixture	160	test	True	[21, 99]	[21, 32]	[21, 131]	debug_tiny_vae_mu_nonzero_synthetic_teacher	0.14166335422972529	0.18334362810752444	True
jumps1_subject1_frames_1_180_state_fixture_window_0017	jumps1_subject1_frames_1_180_state_fixture	170	test	True	[21, 99]	[21, 32]	[21, 131]	debug_tiny_vae_mu_nonzero_synthetic_teacher	0.15698379730054599	0.21271520303547908	True
jumps1_subject1_frames_1_180_state_fixture_window_0018	jumps1_subject1_frames_1_180_state_fixture	180	test	True	[21, 99]	[21, 32]	[21, 131]	debug_tiny_vae_mu_nonzero_synthetic_teacher	0.19928805288093696	0.2600915558892868	True
jumps1_subject1_frames_1_180_state_fixture_window_0019	jumps1_subject1_frames_1_180_state_fixture	190	test	True	[21, 99]	[21, 32]	[21, 131]	debug_tiny_vae_mu_nonzero_synthetic_teacher	0.23329328007474986	0.28997391084086477	True
jumps1_subject1_frames_1_180_state_fixture_window_0020	jumps1_subject1_frames_1_180_state_fixture	200	test	True	[21, 99]	[21, 32]	[21, 131]	debug_tiny_vae_mu_nonzero_synthetic_teacher	0.2146420950815636	0.2655015560178981	True
jumps1_subject1_frames_1_180_state_fixture_window_0021	jumps1_subject1_frames_1_180_state_fixture	210	test	True	[21, 99]	[21, 32]	[21, 131]	debug_tiny_vae_mu_nonzero_synthetic_teacher	0.1700426978973805	0.2165759506061792	True
jumps1_subject1_frames_1_180_state_fixture_window_0022	jumps1_subject1_frames_1_180_state_fixture	220	test	True	[21, 99]	[21, 32]	[21, 131]	debug_tiny_vae_mu_nonzero_synthetic_teacher	0.1438960055647407	0.18931442510740948	True
jumps1_subject1_frames_1_180_state_fixture_window_0023	jumps1_subject1_frames_1_180_state_fixture	230	test	True	[21, 99]	[21, 32]	[21, 131]	debug_tiny_vae_mu_nonzero_synthetic_teacher	0.14367711047608672	0.1901957953269617	True
jumps1_subject1_frames_1_180_state_fixture_window_0024	jumps1_subject1_frames_1_180_state_fixture	240	test	True	[21, 99]	[21, 32]	[21, 131]	debug_tiny_vae_mu_nonzero_synthetic_teacher	0.1435194718817781	0.1925020330448865	True
jumps1_subject1_frames_1_180_state_fixture_window_0025	jumps1_subject1_frames_1_180_state_fixture	250	test	True	[21, 99]	[21, 32]	[21, 131]	debug_tiny_vae_mu_nonzero_synthetic_teacher	0.1430952020815485	0.19402526127369835	True
jumps1_subject1_frames_1_180_state_fixture_window_0026	jumps1_subject1_frames_1_180_state_fixture	260	test	True	[21, 99]	[21, 32]	[21, 131]	debug_tiny_vae_mu_nonzero_synthetic_teacher	0.14594390002076535	0.1979091061802489	True
jumps1_subject1_frames_1_180_state_fixture_window_0027	jumps1_subject1_frames_1_180_state_fixture	270	test	True	[21, 99]	[21, 32]	[21, 131]	debug_tiny_vae_mu_nonzero_synthetic_teacher	0.14218285708228082	0.19137690160990495	True
