motion,status,latest_blocker,returncode,duration_seconds,official_loop_body_completed,shutdown_warning,official_loop_call_299,fake_wandb_download,g1_cfg_patched_to_enriched_usd,motion_npz,log,wrapper_stdout_log
fallAndGetUp1_subject5,ok,none_official_replay_loop_completed_with_enriched_usd_patch,0,62.271,True,False,True,True,True,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/fallAndGetUp1_subject5/fallAndGetUp1_subject5_official_loop_enriched_usd_motion.npz,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_with_enriched_usd/fallAndGetUp1_subject5_official_replay_loop_enriched_usd.log,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_enriched_usd/fallAndGetUp1_subject5_wrapper_stdout.log
fallAndGetUp2_subject2,ok,none_official_replay_loop_completed_with_enriched_usd_patch,0,52.238,True,False,True,True,True,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/fallAndGetUp2_subject2/fallAndGetUp2_subject2_official_loop_enriched_usd_motion.npz,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_with_enriched_usd/fallAndGetUp2_subject2_official_replay_loop_enriched_usd.log,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_enriched_usd/fallAndGetUp2_subject2_wrapper_stdout.log
fallAndGetUp2_subject3,ok,none_official_replay_loop_completed_with_enriched_usd_patch,0,51.994,True,False,True,True,True,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/fallAndGetUp2_subject3/fallAndGetUp2_subject3_official_loop_enriched_usd_motion.npz,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_with_enriched_usd/fallAndGetUp2_subject3_official_replay_loop_enriched_usd.log,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_enriched_usd/fallAndGetUp2_subject3_wrapper_stdout.log
fallAndGetUp3_subject1,ok,none_official_replay_loop_completed_with_enriched_usd_patch,0,62.379,True,False,True,True,True,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/fallAndGetUp3_subject1/fallAndGetUp3_subject1_official_loop_enriched_usd_motion.npz,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_with_enriched_usd/fallAndGetUp3_subject1_official_replay_loop_enriched_usd.log,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_enriched_usd/fallAndGetUp3_subject1_wrapper_stdout.log
fight1_subject2,ok,none_official_replay_loop_completed_with_enriched_usd_patch,0,62.128,True,False,True,True,True,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/fight1_subject2/fight1_subject2_official_loop_enriched_usd_motion.npz,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_with_enriched_usd/fight1_subject2_official_replay_loop_enriched_usd.log,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_enriched_usd/fight1_subject2_wrapper_stdout.log
fight1_subject3,ok,none_official_replay_loop_completed_with_enriched_usd_patch,0,52.294,True,False,True,True,True,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/fight1_subject3/fight1_subject3_official_loop_enriched_usd_motion.npz,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_with_enriched_usd/fight1_subject3_official_replay_loop_enriched_usd.log,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_enriched_usd/fight1_subject3_wrapper_stdout.log
fight1_subject5,ok,none_official_replay_loop_completed_with_enriched_usd_patch,0,51.892,True,False,True,True,True,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/fight1_subject5/fight1_subject5_official_loop_enriched_usd_motion.npz,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_with_enriched_usd/fight1_subject5_official_replay_loop_enriched_usd.log,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_enriched_usd/fight1_subject5_wrapper_stdout.log
fightAndSports1_subject1,ok,none_official_replay_loop_completed_with_enriched_usd_patch,0,52.179,True,False,True,True,True,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/fightAndSports1_subject1/fightAndSports1_subject1_official_loop_enriched_usd_motion.npz,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_with_enriched_usd/fightAndSports1_subject1_official_replay_loop_enriched_usd.log,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_enriched_usd/fightAndSports1_subject1_wrapper_stdout.log
fightAndSports1_subject4,ok,none_official_replay_loop_completed_with_enriched_usd_patch,0,51.996,True,False,True,True,True,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/fightAndSports1_subject4/fightAndSports1_subject4_official_loop_enriched_usd_motion.npz,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_with_enriched_usd/fightAndSports1_subject4_official_replay_loop_enriched_usd.log,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_enriched_usd/fightAndSports1_subject4_wrapper_stdout.log
jumps1_subject1,ok,none_official_replay_loop_completed_with_enriched_usd_patch,0,52.015,True,False,True,True,True,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/jumps1_subject1/jumps1_subject1_official_loop_enriched_usd_motion.npz,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_with_enriched_usd/jumps1_subject1_official_replay_loop_enriched_usd.log,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_enriched_usd/jumps1_subject1_wrapper_stdout.log
jumps1_subject2,ok,none_official_replay_loop_completed_with_enriched_usd_patch,0,52.501,True,False,True,True,True,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/jumps1_subject2/jumps1_subject2_official_loop_enriched_usd_motion.npz,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_with_enriched_usd/jumps1_subject2_official_replay_loop_enriched_usd.log,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_enriched_usd/jumps1_subject2_wrapper_stdout.log
jumps1_subject5,ok,none_official_replay_loop_completed_with_enriched_usd_patch,0,62.224,True,False,True,True,True,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/jumps1_subject5/jumps1_subject5_official_loop_enriched_usd_motion.npz,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_with_enriched_usd/jumps1_subject5_official_replay_loop_enriched_usd.log,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_enriched_usd/jumps1_subject5_wrapper_stdout.log
run1_subject2,ok,none_official_replay_loop_completed_with_enriched_usd_patch,0,52.078,True,False,True,True,True,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/run1_subject2/run1_subject2_official_loop_enriched_usd_motion.npz,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_with_enriched_usd/run1_subject2_official_replay_loop_enriched_usd.log,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_enriched_usd/run1_subject2_wrapper_stdout.log
run1_subject5,ok,none_official_replay_loop_completed_with_enriched_usd_patch,0,62.165,True,False,True,True,True,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/run1_subject5/run1_subject5_official_loop_enriched_usd_motion.npz,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_with_enriched_usd/run1_subject5_official_replay_loop_enriched_usd.log,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_enriched_usd/run1_subject5_wrapper_stdout.log
run2_subject1,ok,none_official_replay_loop_completed_with_enriched_usd_patch,0,52.148,True,False,True,True,True,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/run2_subject1/run2_subject1_official_loop_enriched_usd_motion.npz,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_with_enriched_usd/run2_subject1_official_replay_loop_enriched_usd.log,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_enriched_usd/run2_subject1_wrapper_stdout.log
run2_subject4,ok,none_official_replay_loop_completed_with_enriched_usd_patch,0,52.341,True,False,True,True,True,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/run2_subject4/run2_subject4_official_loop_enriched_usd_motion.npz,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_with_enriched_usd/run2_subject4_official_replay_loop_enriched_usd.log,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_enriched_usd/run2_subject4_wrapper_stdout.log
sprint1_subject2,ok,none_official_replay_loop_completed_with_enriched_usd_patch,0,52.078,True,False,True,True,True,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/sprint1_subject2/sprint1_subject2_official_loop_enriched_usd_motion.npz,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_with_enriched_usd/sprint1_subject2_official_replay_loop_enriched_usd.log,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_enriched_usd/sprint1_subject2_wrapper_stdout.log
sprint1_subject4,ok,none_official_replay_loop_completed_with_enriched_usd_patch,0,62.349,True,False,True,True,True,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/sprint1_subject4/sprint1_subject4_official_loop_enriched_usd_motion.npz,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_with_enriched_usd/sprint1_subject4_official_replay_loop_enriched_usd.log,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_enriched_usd/sprint1_subject4_wrapper_stdout.log
walk1_subject1,ok,none_official_replay_loop_completed_with_enriched_usd_patch,0,52.076,True,False,True,True,True,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/walk1_subject1/walk1_subject1_official_loop_enriched_usd_motion.npz,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_with_enriched_usd/walk1_subject1_official_replay_loop_enriched_usd.log,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_enriched_usd/walk1_subject1_wrapper_stdout.log
walk1_subject2,ok,none_official_replay_loop_completed_with_enriched_usd_patch,0,52.167,True,False,True,True,True,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/walk1_subject2/walk1_subject2_official_loop_enriched_usd_motion.npz,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_with_enriched_usd/walk1_subject2_official_replay_loop_enriched_usd.log,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_enriched_usd/walk1_subject2_wrapper_stdout.log
walk1_subject5,ok,none_official_replay_loop_completed_with_enriched_usd_patch,0,52.132,True,False,True,True,True,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/walk1_subject5/walk1_subject5_official_loop_enriched_usd_motion.npz,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_with_enriched_usd/walk1_subject5_official_replay_loop_enriched_usd.log,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_enriched_usd/walk1_subject5_wrapper_stdout.log
walk2_subject1,ok,none_official_replay_loop_completed_with_enriched_usd_patch,0,51.998,True,False,True,True,True,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/walk2_subject1/walk2_subject1_official_loop_enriched_usd_motion.npz,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_with_enriched_usd/walk2_subject1_official_replay_loop_enriched_usd.log,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_enriched_usd/walk2_subject1_wrapper_stdout.log
walk2_subject3,ok,none_official_replay_loop_completed_with_enriched_usd_patch,0,52.131,True,False,True,True,True,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/walk2_subject3/walk2_subject3_official_loop_enriched_usd_motion.npz,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_with_enriched_usd/walk2_subject3_official_replay_loop_enriched_usd.log,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_enriched_usd/walk2_subject3_wrapper_stdout.log
walk2_subject4,ok,none_official_replay_loop_completed_with_enriched_usd_patch,0,62.082,True,False,True,True,True,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/walk2_subject4/walk2_subject4_official_loop_enriched_usd_motion.npz,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_with_enriched_usd/walk2_subject4_official_replay_loop_enriched_usd.log,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_enriched_usd/walk2_subject4_wrapper_stdout.log
walk3_subject1,ok,none_official_replay_loop_completed_with_enriched_usd_patch,0,52.602,True,False,True,True,True,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/walk3_subject1/walk3_subject1_official_loop_enriched_usd_motion.npz,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_with_enriched_usd/walk3_subject1_official_replay_loop_enriched_usd.log,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_enriched_usd/walk3_subject1_wrapper_stdout.log
walk3_subject2,ok,none_official_replay_loop_completed_with_enriched_usd_patch,0,52.052,True,False,True,True,True,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/walk3_subject2/walk3_subject2_official_loop_enriched_usd_motion.npz,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_with_enriched_usd/walk3_subject2_official_replay_loop_enriched_usd.log,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_enriched_usd/walk3_subject2_wrapper_stdout.log
walk3_subject3,ok,none_official_replay_loop_completed_with_enriched_usd_patch,0,52.088,True,False,True,True,True,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/walk3_subject3/walk3_subject3_official_loop_enriched_usd_motion.npz,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_with_enriched_usd/walk3_subject3_official_replay_loop_enriched_usd.log,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_enriched_usd/walk3_subject3_wrapper_stdout.log
walk3_subject4,ok,none_official_replay_loop_completed_with_enriched_usd_patch,0,51.981,True,False,True,True,True,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/walk3_subject4/walk3_subject4_official_loop_enriched_usd_motion.npz,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_with_enriched_usd/walk3_subject4_official_replay_loop_enriched_usd.log,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_enriched_usd/walk3_subject4_wrapper_stdout.log
walk3_subject5,ok,none_official_replay_loop_completed_with_enriched_usd_patch,0,62.413,True,False,True,True,True,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/walk3_subject5/walk3_subject5_official_loop_enriched_usd_motion.npz,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_with_enriched_usd/walk3_subject5_official_replay_loop_enriched_usd.log,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_enriched_usd/walk3_subject5_wrapper_stdout.log
walk4_subject1,ok,none_official_replay_loop_completed_with_enriched_usd_patch,0,52.227,True,False,True,True,True,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/walk4_subject1/walk4_subject1_official_loop_enriched_usd_motion.npz,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_with_enriched_usd/walk4_subject1_official_replay_loop_enriched_usd.log,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_enriched_usd/walk4_subject1_wrapper_stdout.log
