motion,motion_family,status,returncode,duration_seconds,official_loop_body_completed,shutdown_warning,official_loop_call_299,fake_wandb_download,uses_official_importer_export_usd,motion_npz,log,motion_audit
fallAndGetUp1_subject5,fallAndGetUp,ok,0,62.488,True,False,True,True,True,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_official_importer_export/motions/fallAndGetUp1_subject5/fallAndGetUp1_subject5_official_loop_official_importer_export_motion.npz,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/fallAndGetUp1_subject5_official_replay_loop_official_importer_export.log,/mnt/infini-data/test/BeyondMimic/res/tracking/official_replay_npz_loop_full_dataset_with_official_importer_export/motions/fallAndGetUp1_subject5/fallAndGetUp1_subject5_official_replay_loop_official_importer_export_audit.json
fallAndGetUp2_subject2,fallAndGetUp,ok,0,62.449,True,False,True,True,True,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_official_importer_export/motions/fallAndGetUp2_subject2/fallAndGetUp2_subject2_official_loop_official_importer_export_motion.npz,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/fallAndGetUp2_subject2_official_replay_loop_official_importer_export.log,/mnt/infini-data/test/BeyondMimic/res/tracking/official_replay_npz_loop_full_dataset_with_official_importer_export/motions/fallAndGetUp2_subject2/fallAndGetUp2_subject2_official_replay_loop_official_importer_export_audit.json
fallAndGetUp2_subject3,fallAndGetUp,ok,0,62.338,True,False,True,True,True,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_official_importer_export/motions/fallAndGetUp2_subject3/fallAndGetUp2_subject3_official_loop_official_importer_export_motion.npz,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/fallAndGetUp2_subject3_official_replay_loop_official_importer_export.log,/mnt/infini-data/test/BeyondMimic/res/tracking/official_replay_npz_loop_full_dataset_with_official_importer_export/motions/fallAndGetUp2_subject3/fallAndGetUp2_subject3_official_replay_loop_official_importer_export_audit.json
fallAndGetUp3_subject1,fallAndGetUp,ok,0,62.095,True,False,True,True,True,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_official_importer_export/motions/fallAndGetUp3_subject1/fallAndGetUp3_subject1_official_loop_official_importer_export_motion.npz,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/fallAndGetUp3_subject1_official_replay_loop_official_importer_export.log,/mnt/infini-data/test/BeyondMimic/res/tracking/official_replay_npz_loop_full_dataset_with_official_importer_export/motions/fallAndGetUp3_subject1/fallAndGetUp3_subject1_official_replay_loop_official_importer_export_audit.json
fight1_subject2,fight,ok,0,62.823,True,False,True,True,True,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_official_importer_export/motions/fight1_subject2/fight1_subject2_official_loop_official_importer_export_motion.npz,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/fight1_subject2_official_replay_loop_official_importer_export.log,/mnt/infini-data/test/BeyondMimic/res/tracking/official_replay_npz_loop_full_dataset_with_official_importer_export/motions/fight1_subject2/fight1_subject2_official_replay_loop_official_importer_export_audit.json
fight1_subject3,fight,ok,0,62.159,True,False,True,True,True,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_official_importer_export/motions/fight1_subject3/fight1_subject3_official_loop_official_importer_export_motion.npz,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/fight1_subject3_official_replay_loop_official_importer_export.log,/mnt/infini-data/test/BeyondMimic/res/tracking/official_replay_npz_loop_full_dataset_with_official_importer_export/motions/fight1_subject3/fight1_subject3_official_replay_loop_official_importer_export_audit.json
fight1_subject5,fight,ok,0,62.206,True,False,True,True,True,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_official_importer_export/motions/fight1_subject5/fight1_subject5_official_loop_official_importer_export_motion.npz,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/fight1_subject5_official_replay_loop_official_importer_export.log,/mnt/infini-data/test/BeyondMimic/res/tracking/official_replay_npz_loop_full_dataset_with_official_importer_export/motions/fight1_subject5/fight1_subject5_official_replay_loop_official_importer_export_audit.json
fightAndSports1_subject1,fightAndSports,ok,0,62.282,True,False,True,True,True,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_official_importer_export/motions/fightAndSports1_subject1/fightAndSports1_subject1_official_loop_official_importer_export_motion.npz,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/fightAndSports1_subject1_official_replay_loop_official_importer_export.log,/mnt/infini-data/test/BeyondMimic/res/tracking/official_replay_npz_loop_full_dataset_with_official_importer_export/motions/fightAndSports1_subject1/fightAndSports1_subject1_official_replay_loop_official_importer_export_audit.json
fightAndSports1_subject4,fightAndSports,ok,0,62.632,True,False,True,True,True,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_official_importer_export/motions/fightAndSports1_subject4/fightAndSports1_subject4_official_loop_official_importer_export_motion.npz,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/fightAndSports1_subject4_official_replay_loop_official_importer_export.log,/mnt/infini-data/test/BeyondMimic/res/tracking/official_replay_npz_loop_full_dataset_with_official_importer_export/motions/fightAndSports1_subject4/fightAndSports1_subject4_official_replay_loop_official_importer_export_audit.json
jumps1_subject1,jumps,ok,0,62.094,True,False,True,True,True,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_official_importer_export/motions/jumps1_subject1/jumps1_subject1_official_loop_official_importer_export_motion.npz,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/jumps1_subject1_official_replay_loop_official_importer_export.log,/mnt/infini-data/test/BeyondMimic/res/tracking/official_replay_npz_loop_full_dataset_with_official_importer_export/motions/jumps1_subject1/jumps1_subject1_official_replay_loop_official_importer_export_audit.json
jumps1_subject2,jumps,ok,0,62.112,True,False,True,True,True,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_official_importer_export/motions/jumps1_subject2/jumps1_subject2_official_loop_official_importer_export_motion.npz,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/jumps1_subject2_official_replay_loop_official_importer_export.log,/mnt/infini-data/test/BeyondMimic/res/tracking/official_replay_npz_loop_full_dataset_with_official_importer_export/motions/jumps1_subject2/jumps1_subject2_official_replay_loop_official_importer_export_audit.json
jumps1_subject5,jumps,ok,0,62.27,True,False,True,True,True,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_official_importer_export/motions/jumps1_subject5/jumps1_subject5_official_loop_official_importer_export_motion.npz,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/jumps1_subject5_official_replay_loop_official_importer_export.log,/mnt/infini-data/test/BeyondMimic/res/tracking/official_replay_npz_loop_full_dataset_with_official_importer_export/motions/jumps1_subject5/jumps1_subject5_official_replay_loop_official_importer_export_audit.json
run1_subject2,run,ok,0,62.292,True,False,True,True,True,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_official_importer_export/motions/run1_subject2/run1_subject2_official_loop_official_importer_export_motion.npz,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/run1_subject2_official_replay_loop_official_importer_export.log,/mnt/infini-data/test/BeyondMimic/res/tracking/official_replay_npz_loop_full_dataset_with_official_importer_export/motions/run1_subject2/run1_subject2_official_replay_loop_official_importer_export_audit.json
run1_subject5,run,ok,0,62.279,True,False,True,True,True,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_official_importer_export/motions/run1_subject5/run1_subject5_official_loop_official_importer_export_motion.npz,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/run1_subject5_official_replay_loop_official_importer_export.log,/mnt/infini-data/test/BeyondMimic/res/tracking/official_replay_npz_loop_full_dataset_with_official_importer_export/motions/run1_subject5/run1_subject5_official_replay_loop_official_importer_export_audit.json
run2_subject1,run,ok,0,62.075,True,False,True,True,True,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_official_importer_export/motions/run2_subject1/run2_subject1_official_loop_official_importer_export_motion.npz,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/run2_subject1_official_replay_loop_official_importer_export.log,/mnt/infini-data/test/BeyondMimic/res/tracking/official_replay_npz_loop_full_dataset_with_official_importer_export/motions/run2_subject1/run2_subject1_official_replay_loop_official_importer_export_audit.json
run2_subject4,run,ok,0,62.52,True,False,True,True,True,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_official_importer_export/motions/run2_subject4/run2_subject4_official_loop_official_importer_export_motion.npz,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/run2_subject4_official_replay_loop_official_importer_export.log,/mnt/infini-data/test/BeyondMimic/res/tracking/official_replay_npz_loop_full_dataset_with_official_importer_export/motions/run2_subject4/run2_subject4_official_replay_loop_official_importer_export_audit.json
sprint1_subject2,sprint,ok,0,62.117,True,False,True,True,True,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_official_importer_export/motions/sprint1_subject2/sprint1_subject2_official_loop_official_importer_export_motion.npz,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/sprint1_subject2_official_replay_loop_official_importer_export.log,/mnt/infini-data/test/BeyondMimic/res/tracking/official_replay_npz_loop_full_dataset_with_official_importer_export/motions/sprint1_subject2/sprint1_subject2_official_replay_loop_official_importer_export_audit.json
sprint1_subject4,sprint,ok,0,62.123,True,False,True,True,True,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_official_importer_export/motions/sprint1_subject4/sprint1_subject4_official_loop_official_importer_export_motion.npz,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/sprint1_subject4_official_replay_loop_official_importer_export.log,/mnt/infini-data/test/BeyondMimic/res/tracking/official_replay_npz_loop_full_dataset_with_official_importer_export/motions/sprint1_subject4/sprint1_subject4_official_replay_loop_official_importer_export_audit.json
walk1_subject1,walk,ok,0,62.039,True,False,True,True,True,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_official_importer_export/motions/walk1_subject1/walk1_subject1_official_loop_official_importer_export_motion.npz,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/walk1_subject1_official_replay_loop_official_importer_export.log,/mnt/infini-data/test/BeyondMimic/res/tracking/official_replay_npz_loop_full_dataset_with_official_importer_export/motions/walk1_subject1/walk1_subject1_official_replay_loop_official_importer_export_audit.json
walk1_subject2,walk,ok,0,62.301,True,False,True,True,True,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_official_importer_export/motions/walk1_subject2/walk1_subject2_official_loop_official_importer_export_motion.npz,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/walk1_subject2_official_replay_loop_official_importer_export.log,/mnt/infini-data/test/BeyondMimic/res/tracking/official_replay_npz_loop_full_dataset_with_official_importer_export/motions/walk1_subject2/walk1_subject2_official_replay_loop_official_importer_export_audit.json
walk1_subject5,walk,ok,0,62.683,True,False,True,True,True,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_official_importer_export/motions/walk1_subject5/walk1_subject5_official_loop_official_importer_export_motion.npz,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/walk1_subject5_official_replay_loop_official_importer_export.log,/mnt/infini-data/test/BeyondMimic/res/tracking/official_replay_npz_loop_full_dataset_with_official_importer_export/motions/walk1_subject5/walk1_subject5_official_replay_loop_official_importer_export_audit.json
walk2_subject1,walk,ok,0,61.978,True,False,True,True,True,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_official_importer_export/motions/walk2_subject1/walk2_subject1_official_loop_official_importer_export_motion.npz,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/walk2_subject1_official_replay_loop_official_importer_export.log,/mnt/infini-data/test/BeyondMimic/res/tracking/official_replay_npz_loop_full_dataset_with_official_importer_export/motions/walk2_subject1/walk2_subject1_official_replay_loop_official_importer_export_audit.json
walk2_subject3,walk,ok,0,62.289,True,False,True,True,True,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_official_importer_export/motions/walk2_subject3/walk2_subject3_official_loop_official_importer_export_motion.npz,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/walk2_subject3_official_replay_loop_official_importer_export.log,/mnt/infini-data/test/BeyondMimic/res/tracking/official_replay_npz_loop_full_dataset_with_official_importer_export/motions/walk2_subject3/walk2_subject3_official_replay_loop_official_importer_export_audit.json
walk2_subject4,walk,ok,0,62.588,True,False,True,True,True,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_official_importer_export/motions/walk2_subject4/walk2_subject4_official_loop_official_importer_export_motion.npz,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/walk2_subject4_official_replay_loop_official_importer_export.log,/mnt/infini-data/test/BeyondMimic/res/tracking/official_replay_npz_loop_full_dataset_with_official_importer_export/motions/walk2_subject4/walk2_subject4_official_replay_loop_official_importer_export_audit.json
walk3_subject1,walk,ok,0,62.054,True,False,True,True,True,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_official_importer_export/motions/walk3_subject1/walk3_subject1_official_loop_official_importer_export_motion.npz,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/walk3_subject1_official_replay_loop_official_importer_export.log,/mnt/infini-data/test/BeyondMimic/res/tracking/official_replay_npz_loop_full_dataset_with_official_importer_export/motions/walk3_subject1/walk3_subject1_official_replay_loop_official_importer_export_audit.json
walk3_subject2,walk,ok,0,72.057,True,False,True,True,True,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_official_importer_export/motions/walk3_subject2/walk3_subject2_official_loop_official_importer_export_motion.npz,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/walk3_subject2_official_replay_loop_official_importer_export.log,/mnt/infini-data/test/BeyondMimic/res/tracking/official_replay_npz_loop_full_dataset_with_official_importer_export/motions/walk3_subject2/walk3_subject2_official_replay_loop_official_importer_export_audit.json
walk3_subject3,walk,ok,0,62.716,True,False,True,True,True,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_official_importer_export/motions/walk3_subject3/walk3_subject3_official_loop_official_importer_export_motion.npz,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/walk3_subject3_official_replay_loop_official_importer_export.log,/mnt/infini-data/test/BeyondMimic/res/tracking/official_replay_npz_loop_full_dataset_with_official_importer_export/motions/walk3_subject3/walk3_subject3_official_replay_loop_official_importer_export_audit.json
walk3_subject4,walk,ok,0,62.169,True,False,True,True,True,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_official_importer_export/motions/walk3_subject4/walk3_subject4_official_loop_official_importer_export_motion.npz,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/walk3_subject4_official_replay_loop_official_importer_export.log,/mnt/infini-data/test/BeyondMimic/res/tracking/official_replay_npz_loop_full_dataset_with_official_importer_export/motions/walk3_subject4/walk3_subject4_official_replay_loop_official_importer_export_audit.json
walk3_subject5,walk,ok,0,62.098,True,False,True,True,True,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_official_importer_export/motions/walk3_subject5/walk3_subject5_official_loop_official_importer_export_motion.npz,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/walk3_subject5_official_replay_loop_official_importer_export.log,/mnt/infini-data/test/BeyondMimic/res/tracking/official_replay_npz_loop_full_dataset_with_official_importer_export/motions/walk3_subject5/walk3_subject5_official_replay_loop_official_importer_export_audit.json
walk4_subject1,walk,ok,0,62.494,True,False,True,True,True,/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_official_importer_export/motions/walk4_subject1/walk4_subject1_official_loop_official_importer_export_motion.npz,/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/walk4_subject1_official_replay_loop_official_importer_export.log,/mnt/infini-data/test/BeyondMimic/res/tracking/official_replay_npz_loop_full_dataset_with_official_importer_export/motions/walk4_subject1/walk4_subject1_official_replay_loop_official_importer_export_audit.json
