motion	status	latest_blocker	returncode	duration_seconds	official_loop_body_completed	shutdown_warning	official_loop_call_299	fake_wandb_download	g1_cfg_patched_to_robot_usd	uses_official_importer_export_usd	motion_npz	log	wrapper_stdout_log	motion_audit
fallAndGetUp1_subject5	ok	none_official_replay_loop_completed_with_official_importer_export_usd	0	63.887	True	False	True	True	True	True	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_official_importer_export/motions/fallAndGetUp1_subject5/fallAndGetUp1_subject5_official_loop_official_importer_export_motion.npz	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/fallAndGetUp1_subject5_official_replay_loop_official_importer_export.log	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/fallAndGetUp1_subject5_wrapper_stdout.log	/mnt/infini-data/test/BeyondMimic/res/tracking/official_replay_npz_loop_full_dataset_with_official_importer_export/motions/fallAndGetUp1_subject5/fallAndGetUp1_subject5_official_replay_loop_official_importer_export_audit.json
fallAndGetUp2_subject2	ok	none_official_replay_loop_completed_with_official_importer_export_usd	0	62.718	True	False	True	True	True	True	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_official_importer_export/motions/fallAndGetUp2_subject2/fallAndGetUp2_subject2_official_loop_official_importer_export_motion.npz	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/fallAndGetUp2_subject2_official_replay_loop_official_importer_export.log	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/fallAndGetUp2_subject2_wrapper_stdout.log	/mnt/infini-data/test/BeyondMimic/res/tracking/official_replay_npz_loop_full_dataset_with_official_importer_export/motions/fallAndGetUp2_subject2/fallAndGetUp2_subject2_official_replay_loop_official_importer_export_audit.json
fallAndGetUp2_subject3	ok	none_official_replay_loop_completed_with_official_importer_export_usd	0	62.369	True	False	True	True	True	True	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_official_importer_export/motions/fallAndGetUp2_subject3/fallAndGetUp2_subject3_official_loop_official_importer_export_motion.npz	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/fallAndGetUp2_subject3_official_replay_loop_official_importer_export.log	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/fallAndGetUp2_subject3_wrapper_stdout.log	/mnt/infini-data/test/BeyondMimic/res/tracking/official_replay_npz_loop_full_dataset_with_official_importer_export/motions/fallAndGetUp2_subject3/fallAndGetUp2_subject3_official_replay_loop_official_importer_export_audit.json
fallAndGetUp3_subject1	ok	none_official_replay_loop_completed_with_official_importer_export_usd	0	63.252	True	False	True	True	True	True	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_official_importer_export/motions/fallAndGetUp3_subject1/fallAndGetUp3_subject1_official_loop_official_importer_export_motion.npz	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/fallAndGetUp3_subject1_official_replay_loop_official_importer_export.log	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/fallAndGetUp3_subject1_wrapper_stdout.log	/mnt/infini-data/test/BeyondMimic/res/tracking/official_replay_npz_loop_full_dataset_with_official_importer_export/motions/fallAndGetUp3_subject1/fallAndGetUp3_subject1_official_replay_loop_official_importer_export_audit.json
fight1_subject2	ok	none_official_replay_loop_completed_with_official_importer_export_usd	0	61.957	True	False	True	True	True	True	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_official_importer_export/motions/fight1_subject2/fight1_subject2_official_loop_official_importer_export_motion.npz	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/fight1_subject2_official_replay_loop_official_importer_export.log	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/fight1_subject2_wrapper_stdout.log	/mnt/infini-data/test/BeyondMimic/res/tracking/official_replay_npz_loop_full_dataset_with_official_importer_export/motions/fight1_subject2/fight1_subject2_official_replay_loop_official_importer_export_audit.json
fight1_subject3	ok	none_official_replay_loop_completed_with_official_importer_export_usd	0	62.138	True	False	True	True	True	True	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_official_importer_export/motions/fight1_subject3/fight1_subject3_official_loop_official_importer_export_motion.npz	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/fight1_subject3_official_replay_loop_official_importer_export.log	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/fight1_subject3_wrapper_stdout.log	/mnt/infini-data/test/BeyondMimic/res/tracking/official_replay_npz_loop_full_dataset_with_official_importer_export/motions/fight1_subject3/fight1_subject3_official_replay_loop_official_importer_export_audit.json
fight1_subject5	ok	none_official_replay_loop_completed_with_official_importer_export_usd	0	61.947	True	False	True	True	True	True	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_official_importer_export/motions/fight1_subject5/fight1_subject5_official_loop_official_importer_export_motion.npz	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/fight1_subject5_official_replay_loop_official_importer_export.log	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/fight1_subject5_wrapper_stdout.log	/mnt/infini-data/test/BeyondMimic/res/tracking/official_replay_npz_loop_full_dataset_with_official_importer_export/motions/fight1_subject5/fight1_subject5_official_replay_loop_official_importer_export_audit.json
fightAndSports1_subject1	ok	none_official_replay_loop_completed_with_official_importer_export_usd	0	61.996	True	False	True	True	True	True	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_official_importer_export/motions/fightAndSports1_subject1/fightAndSports1_subject1_official_loop_official_importer_export_motion.npz	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/fightAndSports1_subject1_official_replay_loop_official_importer_export.log	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/fightAndSports1_subject1_wrapper_stdout.log	/mnt/infini-data/test/BeyondMimic/res/tracking/official_replay_npz_loop_full_dataset_with_official_importer_export/motions/fightAndSports1_subject1/fightAndSports1_subject1_official_replay_loop_official_importer_export_audit.json
fightAndSports1_subject4	ok	none_official_replay_loop_completed_with_official_importer_export_usd	0	61.966	True	False	True	True	True	True	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_official_importer_export/motions/fightAndSports1_subject4/fightAndSports1_subject4_official_loop_official_importer_export_motion.npz	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/fightAndSports1_subject4_official_replay_loop_official_importer_export.log	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/fightAndSports1_subject4_wrapper_stdout.log	/mnt/infini-data/test/BeyondMimic/res/tracking/official_replay_npz_loop_full_dataset_with_official_importer_export/motions/fightAndSports1_subject4/fightAndSports1_subject4_official_replay_loop_official_importer_export_audit.json
jumps1_subject1	ok	none_official_replay_loop_completed_with_official_importer_export_usd	0	65.84	True	False	True	True	True	True	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_official_importer_export/motions/jumps1_subject1/jumps1_subject1_official_loop_official_importer_export_motion.npz	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/jumps1_subject1_official_replay_loop_official_importer_export.log	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/jumps1_subject1_wrapper_stdout.log	/mnt/infini-data/test/BeyondMimic/res/tracking/official_replay_npz_loop_full_dataset_with_official_importer_export/motions/jumps1_subject1/jumps1_subject1_official_replay_loop_official_importer_export_audit.json
jumps1_subject2	ok	none_official_replay_loop_completed_with_official_importer_export_usd	0	62.334	True	False	True	True	True	True	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_official_importer_export/motions/jumps1_subject2/jumps1_subject2_official_loop_official_importer_export_motion.npz	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/jumps1_subject2_official_replay_loop_official_importer_export.log	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/jumps1_subject2_wrapper_stdout.log	/mnt/infini-data/test/BeyondMimic/res/tracking/official_replay_npz_loop_full_dataset_with_official_importer_export/motions/jumps1_subject2/jumps1_subject2_official_replay_loop_official_importer_export_audit.json
jumps1_subject5	ok	none_official_replay_loop_completed_with_official_importer_export_usd	0	62.181	True	False	True	True	True	True	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_official_importer_export/motions/jumps1_subject5/jumps1_subject5_official_loop_official_importer_export_motion.npz	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/jumps1_subject5_official_replay_loop_official_importer_export.log	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/jumps1_subject5_wrapper_stdout.log	/mnt/infini-data/test/BeyondMimic/res/tracking/official_replay_npz_loop_full_dataset_with_official_importer_export/motions/jumps1_subject5/jumps1_subject5_official_replay_loop_official_importer_export_audit.json
run1_subject2	ok	none_official_replay_loop_completed_with_official_importer_export_usd	0	62.054	True	False	True	True	True	True	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_official_importer_export/motions/run1_subject2/run1_subject2_official_loop_official_importer_export_motion.npz	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/run1_subject2_official_replay_loop_official_importer_export.log	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/run1_subject2_wrapper_stdout.log	/mnt/infini-data/test/BeyondMimic/res/tracking/official_replay_npz_loop_full_dataset_with_official_importer_export/motions/run1_subject2/run1_subject2_official_replay_loop_official_importer_export_audit.json
run1_subject5	ok	none_official_replay_loop_completed_with_official_importer_export_usd	0	61.998	True	False	True	True	True	True	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_official_importer_export/motions/run1_subject5/run1_subject5_official_loop_official_importer_export_motion.npz	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/run1_subject5_official_replay_loop_official_importer_export.log	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/run1_subject5_wrapper_stdout.log	/mnt/infini-data/test/BeyondMimic/res/tracking/official_replay_npz_loop_full_dataset_with_official_importer_export/motions/run1_subject5/run1_subject5_official_replay_loop_official_importer_export_audit.json
run2_subject1	ok	none_official_replay_loop_completed_with_official_importer_export_usd	0	62.023	True	False	True	True	True	True	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_official_importer_export/motions/run2_subject1/run2_subject1_official_loop_official_importer_export_motion.npz	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/run2_subject1_official_replay_loop_official_importer_export.log	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/run2_subject1_wrapper_stdout.log	/mnt/infini-data/test/BeyondMimic/res/tracking/official_replay_npz_loop_full_dataset_with_official_importer_export/motions/run2_subject1/run2_subject1_official_replay_loop_official_importer_export_audit.json
run2_subject4	ok	none_official_replay_loop_completed_with_official_importer_export_usd	0	62.937	True	False	True	True	True	True	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_official_importer_export/motions/run2_subject4/run2_subject4_official_loop_official_importer_export_motion.npz	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/run2_subject4_official_replay_loop_official_importer_export.log	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/run2_subject4_wrapper_stdout.log	/mnt/infini-data/test/BeyondMimic/res/tracking/official_replay_npz_loop_full_dataset_with_official_importer_export/motions/run2_subject4/run2_subject4_official_replay_loop_official_importer_export_audit.json
sprint1_subject2	ok	none_official_replay_loop_completed_with_official_importer_export_usd	0	62.208	True	False	True	True	True	True	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_official_importer_export/motions/sprint1_subject2/sprint1_subject2_official_loop_official_importer_export_motion.npz	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/sprint1_subject2_official_replay_loop_official_importer_export.log	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/sprint1_subject2_wrapper_stdout.log	/mnt/infini-data/test/BeyondMimic/res/tracking/official_replay_npz_loop_full_dataset_with_official_importer_export/motions/sprint1_subject2/sprint1_subject2_official_replay_loop_official_importer_export_audit.json
sprint1_subject4	ok	none_official_replay_loop_completed_with_official_importer_export_usd	0	62.152	True	False	True	True	True	True	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_official_importer_export/motions/sprint1_subject4/sprint1_subject4_official_loop_official_importer_export_motion.npz	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/sprint1_subject4_official_replay_loop_official_importer_export.log	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/sprint1_subject4_wrapper_stdout.log	/mnt/infini-data/test/BeyondMimic/res/tracking/official_replay_npz_loop_full_dataset_with_official_importer_export/motions/sprint1_subject4/sprint1_subject4_official_replay_loop_official_importer_export_audit.json
walk1_subject1	ok	none_official_replay_loop_completed_with_official_importer_export_usd	0	62.121	True	False	True	True	True	True	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_official_importer_export/motions/walk1_subject1/walk1_subject1_official_loop_official_importer_export_motion.npz	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/walk1_subject1_official_replay_loop_official_importer_export.log	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/walk1_subject1_wrapper_stdout.log	/mnt/infini-data/test/BeyondMimic/res/tracking/official_replay_npz_loop_full_dataset_with_official_importer_export/motions/walk1_subject1/walk1_subject1_official_replay_loop_official_importer_export_audit.json
walk1_subject2	ok	none_official_replay_loop_completed_with_official_importer_export_usd	0	62.047	True	False	True	True	True	True	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_official_importer_export/motions/walk1_subject2/walk1_subject2_official_loop_official_importer_export_motion.npz	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/walk1_subject2_official_replay_loop_official_importer_export.log	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/walk1_subject2_wrapper_stdout.log	/mnt/infini-data/test/BeyondMimic/res/tracking/official_replay_npz_loop_full_dataset_with_official_importer_export/motions/walk1_subject2/walk1_subject2_official_replay_loop_official_importer_export_audit.json
walk1_subject5	ok	none_official_replay_loop_completed_with_official_importer_export_usd	0	61.95	True	False	True	True	True	True	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_official_importer_export/motions/walk1_subject5/walk1_subject5_official_loop_official_importer_export_motion.npz	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/walk1_subject5_official_replay_loop_official_importer_export.log	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/walk1_subject5_wrapper_stdout.log	/mnt/infini-data/test/BeyondMimic/res/tracking/official_replay_npz_loop_full_dataset_with_official_importer_export/motions/walk1_subject5/walk1_subject5_official_replay_loop_official_importer_export_audit.json
walk2_subject1	ok	none_official_replay_loop_completed_with_official_importer_export_usd	0	61.984	True	False	True	True	True	True	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_official_importer_export/motions/walk2_subject1/walk2_subject1_official_loop_official_importer_export_motion.npz	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/walk2_subject1_official_replay_loop_official_importer_export.log	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/walk2_subject1_wrapper_stdout.log	/mnt/infini-data/test/BeyondMimic/res/tracking/official_replay_npz_loop_full_dataset_with_official_importer_export/motions/walk2_subject1/walk2_subject1_official_replay_loop_official_importer_export_audit.json
walk2_subject3	ok	none_official_replay_loop_completed_with_official_importer_export_usd	0	62.104	True	False	True	True	True	True	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_official_importer_export/motions/walk2_subject3/walk2_subject3_official_loop_official_importer_export_motion.npz	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/walk2_subject3_official_replay_loop_official_importer_export.log	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/walk2_subject3_wrapper_stdout.log	/mnt/infini-data/test/BeyondMimic/res/tracking/official_replay_npz_loop_full_dataset_with_official_importer_export/motions/walk2_subject3/walk2_subject3_official_replay_loop_official_importer_export_audit.json
walk2_subject4	ok	none_official_replay_loop_completed_with_official_importer_export_usd	0	61.894	True	False	True	True	True	True	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_official_importer_export/motions/walk2_subject4/walk2_subject4_official_loop_official_importer_export_motion.npz	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/walk2_subject4_official_replay_loop_official_importer_export.log	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export/walk2_subject4_wrapper_stdout.log	/mnt/infini-data/test/BeyondMimic/res/tracking/official_replay_npz_loop_full_dataset_with_official_importer_export/motions/walk2_subject4/walk2_subject4_official_replay_loop_official_importer_export_audit.json
