motion	status	latest_blocker	returncode	duration_seconds	joint_frames	joint_dim	body_count	max_joint_abs	max_joint_vel_abs	root_height_min	root_height_max	npz_size_bytes	output_npz	metrics_json	log
fallAndGetUp1_subject5	ok	none_official_csv_to_npz_loop_completed_with_enriched_usd_patch	0	52.346	299	29	40	1.69278883934021	5.683284759521484	0.7329166531562805	0.7902404069900513	693082	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/fallAndGetUp1_subject5/fallAndGetUp1_subject5_official_loop_enriched_usd_motion.npz	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/fallAndGetUp1_subject5/fallAndGetUp1_subject5_official_loop_enriched_usd_metrics.json	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_csv_to_npz_loop_with_enriched_usd/fallAndGetUp1_subject5_official_csv_loop_enriched_usd.log
fallAndGetUp2_subject2	ok	none_official_csv_to_npz_loop_completed_with_enriched_usd_patch	0	52.184	299	29	40	2.0858891010284424	6.071770191192627	0.46913695335388184	0.7853869795799255	693082	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/fallAndGetUp2_subject2/fallAndGetUp2_subject2_official_loop_enriched_usd_motion.npz	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/fallAndGetUp2_subject2/fallAndGetUp2_subject2_official_loop_enriched_usd_metrics.json	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_csv_to_npz_loop_with_enriched_usd/fallAndGetUp2_subject2_official_csv_loop_enriched_usd.log
fallAndGetUp2_subject3	ok	none_official_csv_to_npz_loop_completed_with_enriched_usd_patch	0	52.588	299	29	40	2.1919257640838623	7.5600810050964355	0.19064557552337646	0.7916873693466187	693082	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/fallAndGetUp2_subject3/fallAndGetUp2_subject3_official_loop_enriched_usd_motion.npz	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/fallAndGetUp2_subject3/fallAndGetUp2_subject3_official_loop_enriched_usd_metrics.json	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_csv_to_npz_loop_with_enriched_usd/fallAndGetUp2_subject3_official_csv_loop_enriched_usd.log
fallAndGetUp3_subject1	ok	none_official_csv_to_npz_loop_completed_with_enriched_usd_patch	0	52.697	299	29	40	1.6744682788848877	6.66409969329834	0.7569940686225891	0.8025705814361572	693082	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/fallAndGetUp3_subject1/fallAndGetUp3_subject1_official_loop_enriched_usd_motion.npz	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/fallAndGetUp3_subject1/fallAndGetUp3_subject1_official_loop_enriched_usd_metrics.json	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_csv_to_npz_loop_with_enriched_usd/fallAndGetUp3_subject1_official_csv_loop_enriched_usd.log
fight1_subject2	ok	none_official_csv_to_npz_loop_completed_with_enriched_usd_patch	0	52.215	299	29	40	1.6922240257263184	8.980878829956055	0.6872756481170654	0.8110941648483276	693082	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/fight1_subject2/fight1_subject2_official_loop_enriched_usd_motion.npz	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/fight1_subject2/fight1_subject2_official_loop_enriched_usd_metrics.json	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_csv_to_npz_loop_with_enriched_usd/fight1_subject2_official_csv_loop_enriched_usd.log
fight1_subject3	ok	none_official_csv_to_npz_loop_completed_with_enriched_usd_patch	0	52.158	299	29	40	1.7385362386703491	7.194680213928223	0.6409599781036377	0.7857509851455688	693082	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/fight1_subject3/fight1_subject3_official_loop_enriched_usd_motion.npz	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/fight1_subject3/fight1_subject3_official_loop_enriched_usd_metrics.json	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_csv_to_npz_loop_with_enriched_usd/fight1_subject3_official_csv_loop_enriched_usd.log
fight1_subject5	ok	none_official_csv_to_npz_loop_completed_with_enriched_usd_patch	0	52.074	299	29	40	1.7298409938812256	8.089006423950195	0.6569443941116333	0.7909650206565857	693082	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/fight1_subject5/fight1_subject5_official_loop_enriched_usd_motion.npz	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/fight1_subject5/fight1_subject5_official_loop_enriched_usd_metrics.json	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_csv_to_npz_loop_with_enriched_usd/fight1_subject5_official_csv_loop_enriched_usd.log
fightAndSports1_subject1	ok	none_official_csv_to_npz_loop_completed_with_enriched_usd_patch	0	52.28	299	29	40	2.1090500354766846	3.5293803215026855	0.7791069746017456	0.8081889748573303	693082	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/fightAndSports1_subject1/fightAndSports1_subject1_official_loop_enriched_usd_motion.npz	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/fightAndSports1_subject1/fightAndSports1_subject1_official_loop_enriched_usd_metrics.json	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_csv_to_npz_loop_with_enriched_usd/fightAndSports1_subject1_official_csv_loop_enriched_usd.log
fightAndSports1_subject4	ok	none_official_csv_to_npz_loop_completed_with_enriched_usd_patch	0	52.271	299	29	40	1.7927157878875732	9.210216522216797	0.6628145575523376	0.7904369831085205	693082	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/fightAndSports1_subject4/fightAndSports1_subject4_official_loop_enriched_usd_motion.npz	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/fightAndSports1_subject4/fightAndSports1_subject4_official_loop_enriched_usd_metrics.json	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_csv_to_npz_loop_with_enriched_usd/fightAndSports1_subject4_official_csv_loop_enriched_usd.log
jumps1_subject1	ok	none_official_csv_to_npz_loop_completed_with_enriched_usd_patch	0	52.144	299	29	40	1.6407049894332886	5.975133419036865	0.7675691843032837	0.7955048084259033	693082	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/jumps1_subject1/jumps1_subject1_official_loop_enriched_usd_motion.npz	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/jumps1_subject1/jumps1_subject1_official_loop_enriched_usd_metrics.json	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_csv_to_npz_loop_with_enriched_usd/jumps1_subject1_official_csv_loop_enriched_usd.log
jumps1_subject2	ok	none_official_csv_to_npz_loop_completed_with_enriched_usd_patch	0	52.068	299	29	40	1.8326449394226074	8.02716064453125	0.7696290016174316	0.7877895832061768	693082	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/jumps1_subject2/jumps1_subject2_official_loop_enriched_usd_motion.npz	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/jumps1_subject2/jumps1_subject2_official_loop_enriched_usd_metrics.json	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_csv_to_npz_loop_with_enriched_usd/jumps1_subject2_official_csv_loop_enriched_usd.log
jumps1_subject5	ok	none_official_csv_to_npz_loop_completed_with_enriched_usd_patch	0	52.418	299	29	40	2.3472251892089844	8.758790969848633	0.6879450082778931	0.8225724101066589	693082	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/jumps1_subject5/jumps1_subject5_official_loop_enriched_usd_motion.npz	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/jumps1_subject5/jumps1_subject5_official_loop_enriched_usd_metrics.json	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_csv_to_npz_loop_with_enriched_usd/jumps1_subject5_official_csv_loop_enriched_usd.log
run1_subject2	ok	none_official_csv_to_npz_loop_completed_with_enriched_usd_patch	0	52.129	299	29	40	1.6703499555587769	3.6234676837921143	0.7501481771469116	0.7820199728012085	693082	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/run1_subject2/run1_subject2_official_loop_enriched_usd_motion.npz	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/run1_subject2/run1_subject2_official_loop_enriched_usd_metrics.json	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_csv_to_npz_loop_with_enriched_usd/run1_subject2_official_csv_loop_enriched_usd.log
run1_subject5	ok	none_official_csv_to_npz_loop_completed_with_enriched_usd_patch	0	62.723	299	29	40	1.606384038925171	7.741726398468018	0.726428747177124	0.7899079918861389	693082	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/run1_subject5/run1_subject5_official_loop_enriched_usd_motion.npz	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/run1_subject5/run1_subject5_official_loop_enriched_usd_metrics.json	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_csv_to_npz_loop_with_enriched_usd/run1_subject5_official_csv_loop_enriched_usd.log
run2_subject1	ok	none_official_csv_to_npz_loop_completed_with_enriched_usd_patch	0	61.964	299	29	40	1.8715440034866333	10.652595520019531	0.679182767868042	0.7968530058860779	693082	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/run2_subject1/run2_subject1_official_loop_enriched_usd_motion.npz	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/run2_subject1/run2_subject1_official_loop_enriched_usd_metrics.json	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_csv_to_npz_loop_with_enriched_usd/run2_subject1_official_csv_loop_enriched_usd.log
run2_subject4	ok	none_official_csv_to_npz_loop_completed_with_enriched_usd_patch	0	52.525	299	29	40	2.2351324558258057	11.37079906463623	0.6969559788703918	0.801315188407898	693082	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/run2_subject4/run2_subject4_official_loop_enriched_usd_motion.npz	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/run2_subject4/run2_subject4_official_loop_enriched_usd_metrics.json	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_csv_to_npz_loop_with_enriched_usd/run2_subject4_official_csv_loop_enriched_usd.log
sprint1_subject2	ok	none_official_csv_to_npz_loop_completed_with_enriched_usd_patch	0	52.146	299	29	40	1.6508710384368896	6.20499849319458	0.757040798664093	0.7875210046768188	693082	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/sprint1_subject2/sprint1_subject2_official_loop_enriched_usd_motion.npz	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/sprint1_subject2/sprint1_subject2_official_loop_enriched_usd_metrics.json	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_csv_to_npz_loop_with_enriched_usd/sprint1_subject2_official_csv_loop_enriched_usd.log
sprint1_subject4	ok	none_official_csv_to_npz_loop_completed_with_enriched_usd_patch	0	52.107	299	29	40	1.787833571434021	7.51507043838501	0.7442399859428406	0.7881100177764893	693082	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/sprint1_subject4/sprint1_subject4_official_loop_enriched_usd_motion.npz	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/sprint1_subject4/sprint1_subject4_official_loop_enriched_usd_metrics.json	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_csv_to_npz_loop_with_enriched_usd/sprint1_subject4_official_csv_loop_enriched_usd.log
walk1_subject1	ok	none_official_csv_to_npz_loop_completed_with_enriched_usd_patch	0	62.171	299	29	40	1.6677650213241577	6.001500606536865	0.7617475986480713	0.7965530157089233	693082	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/walk1_subject1/walk1_subject1_official_loop_enriched_usd_motion.npz	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/walk1_subject1/walk1_subject1_official_loop_enriched_usd_metrics.json	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_csv_to_npz_loop_with_enriched_usd/walk1_subject1_official_csv_loop_enriched_usd.log
walk1_subject2	ok	none_official_csv_to_npz_loop_completed_with_enriched_usd_patch	0	52.467	299	29	40	1.635943055152893	5.0526885986328125	0.7614394426345825	0.7867410182952881	693082	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/walk1_subject2/walk1_subject2_official_loop_enriched_usd_motion.npz	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/walk1_subject2/walk1_subject2_official_loop_enriched_usd_metrics.json	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_csv_to_npz_loop_with_enriched_usd/walk1_subject2_official_csv_loop_enriched_usd.log
walk1_subject5	ok	none_official_csv_to_npz_loop_completed_with_enriched_usd_patch	0	52.414	299	29	40	1.6051510572433472	7.912026882171631	0.7335401773452759	0.7917799949645996	693082	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/walk1_subject5/walk1_subject5_official_loop_enriched_usd_motion.npz	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/walk1_subject5/walk1_subject5_official_loop_enriched_usd_metrics.json	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_csv_to_npz_loop_with_enriched_usd/walk1_subject5_official_csv_loop_enriched_usd.log
walk2_subject1	ok	none_official_csv_to_npz_loop_completed_with_enriched_usd_patch	0	51.994	299	29	40	1.6251230239868164	6.700686931610107	0.7638108134269714	0.7986736297607422	693082	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/walk2_subject1/walk2_subject1_official_loop_enriched_usd_motion.npz	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/walk2_subject1/walk2_subject1_official_loop_enriched_usd_metrics.json	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_csv_to_npz_loop_with_enriched_usd/walk2_subject1_official_csv_loop_enriched_usd.log
walk2_subject3	ok	none_official_csv_to_npz_loop_completed_with_enriched_usd_patch	0	52.456	299	29	40	1.6755844354629517	4.7070631980896	0.7545796036720276	0.7860599756240845	693082	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/walk2_subject3/walk2_subject3_official_loop_enriched_usd_motion.npz	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/walk2_subject3/walk2_subject3_official_loop_enriched_usd_metrics.json	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_csv_to_npz_loop_with_enriched_usd/walk2_subject3_official_csv_loop_enriched_usd.log
walk2_subject4	ok	none_official_csv_to_npz_loop_completed_with_enriched_usd_patch	0	62.551	299	29	40	1.7985479831695557	4.590646743774414	0.7803738117218018	0.7895519733428955	693082	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/walk2_subject4/walk2_subject4_official_loop_enriched_usd_motion.npz	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/walk2_subject4/walk2_subject4_official_loop_enriched_usd_metrics.json	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_csv_to_npz_loop_with_enriched_usd/walk2_subject4_official_csv_loop_enriched_usd.log
walk3_subject1	ok	none_official_csv_to_npz_loop_completed_with_enriched_usd_patch	0	63.46	299	29	40	1.4542654752731323	4.729968070983887	0.7798140048980713	0.7991422414779663	693082	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/walk3_subject1/walk3_subject1_official_loop_enriched_usd_motion.npz	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/walk3_subject1/walk3_subject1_official_loop_enriched_usd_metrics.json	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_csv_to_npz_loop_with_enriched_usd/walk3_subject1_official_csv_loop_enriched_usd.log
walk3_subject2	ok	none_official_csv_to_npz_loop_completed_with_enriched_usd_patch	0	62.216	299	29	40	1.666821002960205	7.8533501625061035	0.7630233764648438	0.7758539915084839	693082	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/walk3_subject2/walk3_subject2_official_loop_enriched_usd_motion.npz	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/walk3_subject2/walk3_subject2_official_loop_enriched_usd_metrics.json	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_csv_to_npz_loop_with_enriched_usd/walk3_subject2_official_csv_loop_enriched_usd.log
walk3_subject3	ok	none_official_csv_to_npz_loop_completed_with_enriched_usd_patch	0	62.703	299	29	40	1.7515819072723389	4.757123947143555	0.6981340050697327	0.7890459895133972	693082	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/walk3_subject3/walk3_subject3_official_loop_enriched_usd_motion.npz	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/walk3_subject3/walk3_subject3_official_loop_enriched_usd_metrics.json	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_csv_to_npz_loop_with_enriched_usd/walk3_subject3_official_csv_loop_enriched_usd.log
walk3_subject4	ok	none_official_csv_to_npz_loop_completed_with_enriched_usd_patch	0	52.129	299	29	40	1.7996809482574463	6.326639652252197	0.7610130310058594	0.7957263588905334	693082	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/walk3_subject4/walk3_subject4_official_loop_enriched_usd_motion.npz	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/walk3_subject4/walk3_subject4_official_loop_enriched_usd_metrics.json	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_csv_to_npz_loop_with_enriched_usd/walk3_subject4_official_csv_loop_enriched_usd.log
walk3_subject5	ok	none_official_csv_to_npz_loop_completed_with_enriched_usd_patch	0	63.466	299	29	40	2.0733916759490967	6.187906742095947	0.557328999042511	0.790556013584137	693082	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/walk3_subject5/walk3_subject5_official_loop_enriched_usd_motion.npz	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/walk3_subject5/walk3_subject5_official_loop_enriched_usd_metrics.json	/mnt/infini-data/test/BeyondMimic/logs/tracking_official_csv_to_npz_loop_with_enriched_usd/walk3_subject5_official_csv_loop_enriched_usd.log
