motion,source_family,source_kind,source_path,frame_count,fps,duration_seconds,entered_stage1_training
lafan1_fallandgetup3_subject1,Unitree-retargeted LAFAN1,36_column_csv,/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/fallAndGetUp3_subject1.csv,5109,50,102.18,yes
lafan1_fight1_subject2,Unitree-retargeted LAFAN1,36_column_csv,/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/fight1_subject2.csv,12244,50,244.88,yes
lafan1_fight1_subject3,Unitree-retargeted LAFAN1,36_column_csv,/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/fight1_subject3.csv,12244,50,244.88,yes
lafan1_fight1_subject5,Unitree-retargeted LAFAN1,36_column_csv,/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/fight1_subject5.csv,12244,50,244.88,yes
lafan1_fightandsports1_subject1,Unitree-retargeted LAFAN1,36_column_csv,/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/fightAndSports1_subject1.csv,12257,50,245.14,yes
lafan1_fightandsports1_subject4,Unitree-retargeted LAFAN1,36_column_csv,/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/fightAndSports1_subject4.csv,12257,50,245.14,yes
lafan1_jumps1_subject1,Unitree-retargeted LAFAN1,36_column_csv,/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/jumps1_subject1.csv,12222,50,244.44,yes
lafan1_jumps1_subject2,Unitree-retargeted LAFAN1,36_column_csv,/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/jumps1_subject2.csv,12222,50,244.44,yes
lafan1_jumps1_subject5,Unitree-retargeted LAFAN1,36_column_csv,/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/jumps1_subject5.csv,12222,50,244.44,yes
lafan1_run1_subject2,Unitree-retargeted LAFAN1,36_column_csv,/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/run1_subject2.csv,11890,50,237.8,yes
lafan1_run1_subject5,Unitree-retargeted LAFAN1,36_column_csv,/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/run1_subject5.csv,11890,50,237.8,yes
lafan1_run2_subject1,Unitree-retargeted LAFAN1,36_column_csv,/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/run2_subject1.csv,12240,50,244.8,yes
lafan1_run2_subject4,Unitree-retargeted LAFAN1,36_column_csv,/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/run2_subject4.csv,12240,50,244.8,yes
lafan1_sprint1_subject2,Unitree-retargeted LAFAN1,36_column_csv,/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/sprint1_subject2.csv,13655,50,273.1,yes
lafan1_sprint1_subject4,Unitree-retargeted LAFAN1,36_column_csv,/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/sprint1_subject4.csv,13655,50,273.1,yes
lafan1_walk1_subject1,Unitree-retargeted LAFAN1,36_column_csv,/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/walk1_subject1.csv,13065,50,261.3,yes
lafan1_walk1_subject2,Unitree-retargeted LAFAN1,36_column_csv,/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/walk1_subject2.csv,13065,50,261.3,yes
lafan1_walk1_subject5,Unitree-retargeted LAFAN1,36_column_csv,/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/walk1_subject5.csv,13065,50,261.3,yes
lafan1_walk2_subject1,Unitree-retargeted LAFAN1,36_column_csv,/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/walk2_subject1.csv,11909,50,238.18,yes
lafan1_walk2_subject3,Unitree-retargeted LAFAN1,36_column_csv,/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/walk2_subject3.csv,11909,50,238.18,yes
lafan1_walk2_subject4,Unitree-retargeted LAFAN1,36_column_csv,/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/walk2_subject4.csv,11909,50,238.18,yes
lafan1_walk3_subject1,Unitree-retargeted LAFAN1,36_column_csv,/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/walk3_subject1.csv,12330,50,246.6,yes
lafan1_walk3_subject2,Unitree-retargeted LAFAN1,36_column_csv,/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/walk3_subject2.csv,12330,50,246.6,yes
lafan1_walk3_subject3,Unitree-retargeted LAFAN1,36_column_csv,/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/walk3_subject3.csv,12330,50,246.6,yes
lafan1_walk3_subject4,Unitree-retargeted LAFAN1,36_column_csv,/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/walk3_subject4.csv,12330,50,246.6,yes
lafan1_walk3_subject5,Unitree-retargeted LAFAN1,36_column_csv,/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/walk3_subject5.csv,12330,50,246.6,yes
lafan1_walk4_subject1,Unitree-retargeted LAFAN1,36_column_csv,/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/walk4_subject1.csv,8195,50,163.9,yes
zenodo_tkd_skill,BeyondMimic Zenodo ablation reference CSV,36_column_csv,/mnt/infini-data/test/BeyondMimic/Dataset_beyondmimic/ablation/tkd_skill.csv,552,50,11.04,yes
hub_singleleg_video_single_leg_stand_1,HuB supplemental 29-DoF pkl,converted_29dof_pkl,/mnt/infini-data/test/BeyondMimic/download/_supplemental/hub_data/drive_folder/singleleg.pkl,799,50,15.98,yes
hub_swallow_balance_video_swift0322,HuB supplemental 29-DoF pkl,converted_29dof_pkl,/mnt/infini-data/test/BeyondMimic/download/_supplemental/hub_data/drive_folder/swallow_balance.pkl,850,50,17.0,yes
hub_bruce_lee_video_lixiaolong_2_fixfirst90,HuB supplemental 29-DoF pkl,converted_29dof_pkl,/mnt/infini-data/test/BeyondMimic/download/_supplemental/hub_data/drive_folder/bruce_lee.pkl,725,50,14.5,yes
hub_bruce_lee_video_lixiaolong_3_fixfirst90,HuB supplemental 29-DoF pkl,converted_29dof_pkl,/mnt/infini-data/test/BeyondMimic/download/_supplemental/hub_data/drive_folder/bruce_lee.pkl,765,50,15.3,yes
hub_nezha_video_wukong_3_fixmid90,HuB supplemental 29-DoF pkl,converted_29dof_pkl,/mnt/infini-data/test/BeyondMimic/download/_supplemental/hub_data/drive_folder/nezha.pkl,749,50,14.98,yes
hub_nezha_video_wukong_6_mirror_fixmid90,HuB supplemental 29-DoF pkl,converted_29dof_pkl,/mnt/infini-data/test/BeyondMimic/download/_supplemental/hub_data/drive_folder/nezha.pkl,782,50,15.64,yes
hub_squat_video_squat_18,HuB supplemental 29-DoF pkl,converted_29dof_pkl,/mnt/infini-data/test/BeyondMimic/download/_supplemental/hub_data/drive_folder/squat.pkl,971,50,19.42,yes
hub_squat_video_squat_4,HuB supplemental 29-DoF pkl,converted_29dof_pkl,/mnt/infini-data/test/BeyondMimic/download/_supplemental/hub_data/drive_folder/squat.pkl,1045,50,20.9,yes
