motion	source_npz	source_sha256	start_frame	end_frame_exclusive	frame_count	fps	joint_shape	body_shape
fallAndGetUp1_subject5	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/fallAndGetUp1_subject5/fallAndGetUp1_subject5_official_loop_enriched_usd_motion.npz	519f2ebd11ec5d64f4dfa4c4385faa2151f1d3256dd93f5c6cde9732937e7242	2990	3289	299	50	[299, 29]	[299, 40, 3]
fallAndGetUp2_subject2	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/fallAndGetUp2_subject2/fallAndGetUp2_subject2_official_loop_enriched_usd_motion.npz	caf43923f8ca92458a2d6ecd93d239e74dfc0c595895147f0813bbd154fe33e9	3289	3588	299	50	[299, 29]	[299, 40, 3]
fallAndGetUp2_subject3	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/fallAndGetUp2_subject3/fallAndGetUp2_subject3_official_loop_enriched_usd_motion.npz	d9faefae33aa66bc311e9184bb9e5a28de86aba387625c018b8b42ede6dc7a9b	3588	3887	299	50	[299, 29]	[299, 40, 3]
fallAndGetUp3_subject1	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/fallAndGetUp3_subject1/fallAndGetUp3_subject1_official_loop_enriched_usd_motion.npz	24be2a15a7b911562886ec20c5a3736de3a2fb7916478c22ce56a6c00e783ba7	3887	4186	299	50	[299, 29]	[299, 40, 3]
fight1_subject2	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/fight1_subject2/fight1_subject2_official_loop_enriched_usd_motion.npz	e18c8a21d4c07972e45db7b0effd6bd43dd04d91713a4f69b3d65304cc42abca	4186	4485	299	50	[299, 29]	[299, 40, 3]
fight1_subject3	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/fight1_subject3/fight1_subject3_official_loop_enriched_usd_motion.npz	a839d630069b6137b453c949d43278cb2a07217a2d4151b9e8c5f78a19a8c38b	4485	4784	299	50	[299, 29]	[299, 40, 3]
fight1_subject5	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/fight1_subject5/fight1_subject5_official_loop_enriched_usd_motion.npz	87f530221fe8453ddf7b2b43dc89b82f4939a48443c0ce69799ca24306edd09c	4784	5083	299	50	[299, 29]	[299, 40, 3]
fightAndSports1_subject1	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/fightAndSports1_subject1/fightAndSports1_subject1_official_loop_enriched_usd_motion.npz	94a039c02daa257da5fface0a0b7a1112500354f0b7630748a9d31c141a71b67	5083	5382	299	50	[299, 29]	[299, 40, 3]
fightAndSports1_subject4	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/fightAndSports1_subject4/fightAndSports1_subject4_official_loop_enriched_usd_motion.npz	46b50c1257dabf13ed0861968b7aae8039bdf863f3d09f5b1aaf5664f1d5628a	5382	5681	299	50	[299, 29]	[299, 40, 3]
jumps1_subject1	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/jumps1_subject1/jumps1_subject1_official_loop_enriched_usd_motion.npz	9d30197dd02c07defa42510fb640a051d8ff78b4dce28ccc361182cdb9671057	5681	5980	299	50	[299, 29]	[299, 40, 3]
jumps1_subject2	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/jumps1_subject2/jumps1_subject2_official_loop_enriched_usd_motion.npz	3afd2c393a7c96e0f1564020895fbf3e22b2d7773d2df5bcc3512087f4559c7c	5980	6279	299	50	[299, 29]	[299, 40, 3]
jumps1_subject5	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/jumps1_subject5/jumps1_subject5_official_loop_enriched_usd_motion.npz	4da09fa3e9275086d8c2217779f11f094757c5e2f2d2d7473cf07b1f9756048a	6279	6578	299	50	[299, 29]	[299, 40, 3]
run1_subject2	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/run1_subject2/run1_subject2_official_loop_enriched_usd_motion.npz	9155869e84f9bf8c6d09022dc71c914d99bbd67aefc72b38e157c2e00e5db358	6578	6877	299	50	[299, 29]	[299, 40, 3]
run1_subject5	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/run1_subject5/run1_subject5_official_loop_enriched_usd_motion.npz	a15701fb5a6a7ca50058a346eecc2ea19092cbd51649f5d0972896441e7fe183	6877	7176	299	50	[299, 29]	[299, 40, 3]
run2_subject1	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/run2_subject1/run2_subject1_official_loop_enriched_usd_motion.npz	607104efc784964e651b2883215c4d5b2a9310be0f33a7c0db3d5532b340dce1	7176	7475	299	50	[299, 29]	[299, 40, 3]
run2_subject4	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/run2_subject4/run2_subject4_official_loop_enriched_usd_motion.npz	6a04b49ca581e7baae196d14331dc816750e54bfa97ec1619da728f4b1f95545	7475	7774	299	50	[299, 29]	[299, 40, 3]
sprint1_subject2	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/sprint1_subject2/sprint1_subject2_official_loop_enriched_usd_motion.npz	64263ba3936cdd72d003f63582c16b0b3ed78968b9b343af82b402202fb92535	7774	8073	299	50	[299, 29]	[299, 40, 3]
sprint1_subject4	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/sprint1_subject4/sprint1_subject4_official_loop_enriched_usd_motion.npz	3a65b507ddc1fd77ef9a57bee5137fb833e25633fb34f50a70605b4cca2468a0	8073	8372	299	50	[299, 29]	[299, 40, 3]
walk1_subject1	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/walk1_subject1/walk1_subject1_official_loop_enriched_usd_motion.npz	bd0cbe41e3d914a55ba147c680a0c1708bb4a64f4680464016ce61fd0576ff08	8372	8671	299	50	[299, 29]	[299, 40, 3]
walk1_subject2	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/walk1_subject2/walk1_subject2_official_loop_enriched_usd_motion.npz	b1616a913bf54df4a85e10c1bcd7c5124a51b2ab439dc11d956a963e61a84959	8671	8970	299	50	[299, 29]	[299, 40, 3]
walk1_subject5	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/walk1_subject5/walk1_subject5_official_loop_enriched_usd_motion.npz	67fc86eb8ea50d2351a5d062b191816032d9b2f069c4467527d0e90cc23bd8b4	8970	9269	299	50	[299, 29]	[299, 40, 3]
walk2_subject1	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/walk2_subject1/walk2_subject1_official_loop_enriched_usd_motion.npz	cc7407c799761d607fca9cdd330364b4d7b7d2b984e98fc9de8ace8fb88f2adb	9269	9568	299	50	[299, 29]	[299, 40, 3]
walk2_subject3	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/walk2_subject3/walk2_subject3_official_loop_enriched_usd_motion.npz	48d908086e48a5d883ebc519274071e2deee8b72499d99ef9d0097f9b37ecdc0	9568	9867	299	50	[299, 29]	[299, 40, 3]
walk2_subject4	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/walk2_subject4/walk2_subject4_official_loop_enriched_usd_motion.npz	6f3d1a312f02b92138e04b6780eb92a236657d7cbb9e93f2df6e8f2e709e7c60	9867	10166	299	50	[299, 29]	[299, 40, 3]
walk3_subject1	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/walk3_subject1/walk3_subject1_official_loop_enriched_usd_motion.npz	7d5a3ffc4bda94a1cb46d203329b9c85731b47a6f552cfce41c325b56d45204f	10166	10465	299	50	[299, 29]	[299, 40, 3]
walk3_subject2	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/walk3_subject2/walk3_subject2_official_loop_enriched_usd_motion.npz	09a371a82c12266b67da900d0be24853dedeb3164ca132eb5267db7ee18559e0	10465	10764	299	50	[299, 29]	[299, 40, 3]
walk3_subject3	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/walk3_subject3/walk3_subject3_official_loop_enriched_usd_motion.npz	eae65fcc11be20a148730183a4615fdd2cfb8dabcd606890876fc94d3750180f	10764	11063	299	50	[299, 29]	[299, 40, 3]
walk3_subject4	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/walk3_subject4/walk3_subject4_official_loop_enriched_usd_motion.npz	39619ec3d9de8d5c89e4e5eb3c1b13b4a410475c8c65f837bc328c5f0fa05e17	11063	11362	299	50	[299, 29]	[299, 40, 3]
walk3_subject5	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/walk3_subject5/walk3_subject5_official_loop_enriched_usd_motion.npz	6c15e7e98d9ebf44cb8fdbd19c669f3b063e4f935df2fc693c084533597d1f1a	11362	11661	299	50	[299, 29]	[299, 40, 3]
walk4_subject1	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/motions/walk4_subject1/walk4_subject1_official_loop_enriched_usd_motion.npz	a11c7092351d869930495858bf8f37eac5c6a532074854b9e6d638ddaffdce61	11661	11960	299	50	[299, 29]	[299, 40, 3]
