sample_id	source_motion	start_timestep	split	accepted	state_shape	latent_shape	token_shape	latent_source	accept_reject	finite
walk1_subject1_frames_1_180_state_fixture_window_0020	walk1_subject1_frames_1_180_state_fixture	200	train	True	[21, 99]	[21, 32]	[21, 131]	synthetic_zero_placeholder_for_schema_only	accepted_debug_fixture_no_live_stability_check	True
walk1_subject1_frames_1_180_state_fixture_window_0021	walk1_subject1_frames_1_180_state_fixture	210	train	True	[21, 99]	[21, 32]	[21, 131]	synthetic_zero_placeholder_for_schema_only	accepted_debug_fixture_no_live_stability_check	True
walk1_subject1_frames_1_180_state_fixture_window_0022	walk1_subject1_frames_1_180_state_fixture	220	train	True	[21, 99]	[21, 32]	[21, 131]	synthetic_zero_placeholder_for_schema_only	accepted_debug_fixture_no_live_stability_check	True
walk1_subject1_frames_1_180_state_fixture_window_0023	walk1_subject1_frames_1_180_state_fixture	230	train	True	[21, 99]	[21, 32]	[21, 131]	synthetic_zero_placeholder_for_schema_only	accepted_debug_fixture_no_live_stability_check	True
walk1_subject1_frames_1_180_state_fixture_window_0024	walk1_subject1_frames_1_180_state_fixture	240	train	True	[21, 99]	[21, 32]	[21, 131]	synthetic_zero_placeholder_for_schema_only	accepted_debug_fixture_no_live_stability_check	True
walk1_subject1_frames_1_180_state_fixture_window_0025	walk1_subject1_frames_1_180_state_fixture	250	train	True	[21, 99]	[21, 32]	[21, 131]	synthetic_zero_placeholder_for_schema_only	accepted_debug_fixture_no_live_stability_check	True
walk1_subject1_frames_1_180_state_fixture_window_0026	walk1_subject1_frames_1_180_state_fixture	260	train	True	[21, 99]	[21, 32]	[21, 131]	synthetic_zero_placeholder_for_schema_only	accepted_debug_fixture_no_live_stability_check	True
walk1_subject1_frames_1_180_state_fixture_window_0027	walk1_subject1_frames_1_180_state_fixture	270	train	True	[21, 99]	[21, 32]	[21, 131]	synthetic_zero_placeholder_for_schema_only	accepted_debug_fixture_no_live_stability_check	True
run2_subject1_frames_1_180_state_fixture_window_0000	run2_subject1_frames_1_180_state_fixture	0	validation	True	[21, 99]	[21, 32]	[21, 131]	synthetic_zero_placeholder_for_schema_only	accepted_debug_fixture_no_live_stability_check	True
run2_subject1_frames_1_180_state_fixture_window_0001	run2_subject1_frames_1_180_state_fixture	10	validation	True	[21, 99]	[21, 32]	[21, 131]	synthetic_zero_placeholder_for_schema_only	accepted_debug_fixture_no_live_stability_check	True
run2_subject1_frames_1_180_state_fixture_window_0002	run2_subject1_frames_1_180_state_fixture	20	validation	True	[21, 99]	[21, 32]	[21, 131]	synthetic_zero_placeholder_for_schema_only	accepted_debug_fixture_no_live_stability_check	True
run2_subject1_frames_1_180_state_fixture_window_0003	run2_subject1_frames_1_180_state_fixture	30	validation	True	[21, 99]	[21, 32]	[21, 131]	synthetic_zero_placeholder_for_schema_only	accepted_debug_fixture_no_live_stability_check	True
run2_subject1_frames_1_180_state_fixture_window_0004	run2_subject1_frames_1_180_state_fixture	40	validation	True	[21, 99]	[21, 32]	[21, 131]	synthetic_zero_placeholder_for_schema_only	accepted_debug_fixture_no_live_stability_check	True
run2_subject1_frames_1_180_state_fixture_window_0005	run2_subject1_frames_1_180_state_fixture	50	validation	True	[21, 99]	[21, 32]	[21, 131]	synthetic_zero_placeholder_for_schema_only	accepted_debug_fixture_no_live_stability_check	True
run2_subject1_frames_1_180_state_fixture_window_0006	run2_subject1_frames_1_180_state_fixture	60	validation	True	[21, 99]	[21, 32]	[21, 131]	synthetic_zero_placeholder_for_schema_only	accepted_debug_fixture_no_live_stability_check	True
run2_subject1_frames_1_180_state_fixture_window_0007	run2_subject1_frames_1_180_state_fixture	70	validation	True	[21, 99]	[21, 32]	[21, 131]	synthetic_zero_placeholder_for_schema_only	accepted_debug_fixture_no_live_stability_check	True
run2_subject1_frames_1_180_state_fixture_window_0008	run2_subject1_frames_1_180_state_fixture	80	validation	True	[21, 99]	[21, 32]	[21, 131]	synthetic_zero_placeholder_for_schema_only	accepted_debug_fixture_no_live_stability_check	True
run2_subject1_frames_1_180_state_fixture_window_0009	run2_subject1_frames_1_180_state_fixture	90	validation	True	[21, 99]	[21, 32]	[21, 131]	synthetic_zero_placeholder_for_schema_only	accepted_debug_fixture_no_live_stability_check	True
run2_subject1_frames_1_180_state_fixture_window_0010	run2_subject1_frames_1_180_state_fixture	100	validation	True	[21, 99]	[21, 32]	[21, 131]	synthetic_zero_placeholder_for_schema_only	accepted_debug_fixture_no_live_stability_check	True
run2_subject1_frames_1_180_state_fixture_window_0011	run2_subject1_frames_1_180_state_fixture	110	validation	True	[21, 99]	[21, 32]	[21, 131]	synthetic_zero_placeholder_for_schema_only	accepted_debug_fixture_no_live_stability_check	True
run2_subject1_frames_1_180_state_fixture_window_0012	run2_subject1_frames_1_180_state_fixture	120	validation	True	[21, 99]	[21, 32]	[21, 131]	synthetic_zero_placeholder_for_schema_only	accepted_debug_fixture_no_live_stability_check	True
run2_subject1_frames_1_180_state_fixture_window_0013	run2_subject1_frames_1_180_state_fixture	130	validation	True	[21, 99]	[21, 32]	[21, 131]	synthetic_zero_placeholder_for_schema_only	accepted_debug_fixture_no_live_stability_check	True
run2_subject1_frames_1_180_state_fixture_window_0014	run2_subject1_frames_1_180_state_fixture	140	validation	True	[21, 99]	[21, 32]	[21, 131]	synthetic_zero_placeholder_for_schema_only	accepted_debug_fixture_no_live_stability_check	True
run2_subject1_frames_1_180_state_fixture_window_0015	run2_subject1_frames_1_180_state_fixture	150	validation	True	[21, 99]	[21, 32]	[21, 131]	synthetic_zero_placeholder_for_schema_only	accepted_debug_fixture_no_live_stability_check	True
run2_subject1_frames_1_180_state_fixture_window_0016	run2_subject1_frames_1_180_state_fixture	160	validation	True	[21, 99]	[21, 32]	[21, 131]	synthetic_zero_placeholder_for_schema_only	accepted_debug_fixture_no_live_stability_check	True
run2_subject1_frames_1_180_state_fixture_window_0017	run2_subject1_frames_1_180_state_fixture	170	validation	True	[21, 99]	[21, 32]	[21, 131]	synthetic_zero_placeholder_for_schema_only	accepted_debug_fixture_no_live_stability_check	True
run2_subject1_frames_1_180_state_fixture_window_0018	run2_subject1_frames_1_180_state_fixture	180	validation	True	[21, 99]	[21, 32]	[21, 131]	synthetic_zero_placeholder_for_schema_only	accepted_debug_fixture_no_live_stability_check	True
run2_subject1_frames_1_180_state_fixture_window_0019	run2_subject1_frames_1_180_state_fixture	190	validation	True	[21, 99]	[21, 32]	[21, 131]	synthetic_zero_placeholder_for_schema_only	accepted_debug_fixture_no_live_stability_check	True
run2_subject1_frames_1_180_state_fixture_window_0020	run2_subject1_frames_1_180_state_fixture	200	validation	True	[21, 99]	[21, 32]	[21, 131]	synthetic_zero_placeholder_for_schema_only	accepted_debug_fixture_no_live_stability_check	True
run2_subject1_frames_1_180_state_fixture_window_0021	run2_subject1_frames_1_180_state_fixture	210	validation	True	[21, 99]	[21, 32]	[21, 131]	synthetic_zero_placeholder_for_schema_only	accepted_debug_fixture_no_live_stability_check	True
run2_subject1_frames_1_180_state_fixture_window_0022	run2_subject1_frames_1_180_state_fixture	220	validation	True	[21, 99]	[21, 32]	[21, 131]	synthetic_zero_placeholder_for_schema_only	accepted_debug_fixture_no_live_stability_check	True
run2_subject1_frames_1_180_state_fixture_window_0023	run2_subject1_frames_1_180_state_fixture	230	validation	True	[21, 99]	[21, 32]	[21, 131]	synthetic_zero_placeholder_for_schema_only	accepted_debug_fixture_no_live_stability_check	True
run2_subject1_frames_1_180_state_fixture_window_0024	run2_subject1_frames_1_180_state_fixture	240	validation	True	[21, 99]	[21, 32]	[21, 131]	synthetic_zero_placeholder_for_schema_only	accepted_debug_fixture_no_live_stability_check	True
run2_subject1_frames_1_180_state_fixture_window_0025	run2_subject1_frames_1_180_state_fixture	250	validation	True	[21, 99]	[21, 32]	[21, 131]	synthetic_zero_placeholder_for_schema_only	accepted_debug_fixture_no_live_stability_check	True
run2_subject1_frames_1_180_state_fixture_window_0026	run2_subject1_frames_1_180_state_fixture	260	validation	True	[21, 99]	[21, 32]	[21, 131]	synthetic_zero_placeholder_for_schema_only	accepted_debug_fixture_no_live_stability_check	True
run2_subject1_frames_1_180_state_fixture_window_0027	run2_subject1_frames_1_180_state_fixture	270	validation	True	[21, 99]	[21, 32]	[21, 131]	synthetic_zero_placeholder_for_schema_only	accepted_debug_fixture_no_live_stability_check	True
jumps1_subject1_frames_1_180_state_fixture_window_0000	jumps1_subject1_frames_1_180_state_fixture	0	test	True	[21, 99]	[21, 32]	[21, 131]	synthetic_zero_placeholder_for_schema_only	accepted_debug_fixture_no_live_stability_check	True
jumps1_subject1_frames_1_180_state_fixture_window_0001	jumps1_subject1_frames_1_180_state_fixture	10	test	True	[21, 99]	[21, 32]	[21, 131]	synthetic_zero_placeholder_for_schema_only	accepted_debug_fixture_no_live_stability_check	True
jumps1_subject1_frames_1_180_state_fixture_window_0002	jumps1_subject1_frames_1_180_state_fixture	20	test	True	[21, 99]	[21, 32]	[21, 131]	synthetic_zero_placeholder_for_schema_only	accepted_debug_fixture_no_live_stability_check	True
jumps1_subject1_frames_1_180_state_fixture_window_0003	jumps1_subject1_frames_1_180_state_fixture	30	test	True	[21, 99]	[21, 32]	[21, 131]	synthetic_zero_placeholder_for_schema_only	accepted_debug_fixture_no_live_stability_check	True
jumps1_subject1_frames_1_180_state_fixture_window_0004	jumps1_subject1_frames_1_180_state_fixture	40	test	True	[21, 99]	[21, 32]	[21, 131]	synthetic_zero_placeholder_for_schema_only	accepted_debug_fixture_no_live_stability_check	True
jumps1_subject1_frames_1_180_state_fixture_window_0005	jumps1_subject1_frames_1_180_state_fixture	50	test	True	[21, 99]	[21, 32]	[21, 131]	synthetic_zero_placeholder_for_schema_only	accepted_debug_fixture_no_live_stability_check	True
jumps1_subject1_frames_1_180_state_fixture_window_0006	jumps1_subject1_frames_1_180_state_fixture	60	test	True	[21, 99]	[21, 32]	[21, 131]	synthetic_zero_placeholder_for_schema_only	accepted_debug_fixture_no_live_stability_check	True
jumps1_subject1_frames_1_180_state_fixture_window_0007	jumps1_subject1_frames_1_180_state_fixture	70	test	True	[21, 99]	[21, 32]	[21, 131]	synthetic_zero_placeholder_for_schema_only	accepted_debug_fixture_no_live_stability_check	True
jumps1_subject1_frames_1_180_state_fixture_window_0008	jumps1_subject1_frames_1_180_state_fixture	80	test	True	[21, 99]	[21, 32]	[21, 131]	synthetic_zero_placeholder_for_schema_only	accepted_debug_fixture_no_live_stability_check	True
jumps1_subject1_frames_1_180_state_fixture_window_0009	jumps1_subject1_frames_1_180_state_fixture	90	test	True	[21, 99]	[21, 32]	[21, 131]	synthetic_zero_placeholder_for_schema_only	accepted_debug_fixture_no_live_stability_check	True
jumps1_subject1_frames_1_180_state_fixture_window_0010	jumps1_subject1_frames_1_180_state_fixture	100	test	True	[21, 99]	[21, 32]	[21, 131]	synthetic_zero_placeholder_for_schema_only	accepted_debug_fixture_no_live_stability_check	True
jumps1_subject1_frames_1_180_state_fixture_window_0011	jumps1_subject1_frames_1_180_state_fixture	110	test	True	[21, 99]	[21, 32]	[21, 131]	synthetic_zero_placeholder_for_schema_only	accepted_debug_fixture_no_live_stability_check	True
jumps1_subject1_frames_1_180_state_fixture_window_0012	jumps1_subject1_frames_1_180_state_fixture	120	test	True	[21, 99]	[21, 32]	[21, 131]	synthetic_zero_placeholder_for_schema_only	accepted_debug_fixture_no_live_stability_check	True
jumps1_subject1_frames_1_180_state_fixture_window_0013	jumps1_subject1_frames_1_180_state_fixture	130	test	True	[21, 99]	[21, 32]	[21, 131]	synthetic_zero_placeholder_for_schema_only	accepted_debug_fixture_no_live_stability_check	True
jumps1_subject1_frames_1_180_state_fixture_window_0014	jumps1_subject1_frames_1_180_state_fixture	140	test	True	[21, 99]	[21, 32]	[21, 131]	synthetic_zero_placeholder_for_schema_only	accepted_debug_fixture_no_live_stability_check	True
jumps1_subject1_frames_1_180_state_fixture_window_0015	jumps1_subject1_frames_1_180_state_fixture	150	test	True	[21, 99]	[21, 32]	[21, 131]	synthetic_zero_placeholder_for_schema_only	accepted_debug_fixture_no_live_stability_check	True
jumps1_subject1_frames_1_180_state_fixture_window_0016	jumps1_subject1_frames_1_180_state_fixture	160	test	True	[21, 99]	[21, 32]	[21, 131]	synthetic_zero_placeholder_for_schema_only	accepted_debug_fixture_no_live_stability_check	True
jumps1_subject1_frames_1_180_state_fixture_window_0017	jumps1_subject1_frames_1_180_state_fixture	170	test	True	[21, 99]	[21, 32]	[21, 131]	synthetic_zero_placeholder_for_schema_only	accepted_debug_fixture_no_live_stability_check	True
jumps1_subject1_frames_1_180_state_fixture_window_0018	jumps1_subject1_frames_1_180_state_fixture	180	test	True	[21, 99]	[21, 32]	[21, 131]	synthetic_zero_placeholder_for_schema_only	accepted_debug_fixture_no_live_stability_check	True
jumps1_subject1_frames_1_180_state_fixture_window_0019	jumps1_subject1_frames_1_180_state_fixture	190	test	True	[21, 99]	[21, 32]	[21, 131]	synthetic_zero_placeholder_for_schema_only	accepted_debug_fixture_no_live_stability_check	True
jumps1_subject1_frames_1_180_state_fixture_window_0020	jumps1_subject1_frames_1_180_state_fixture	200	test	True	[21, 99]	[21, 32]	[21, 131]	synthetic_zero_placeholder_for_schema_only	accepted_debug_fixture_no_live_stability_check	True
jumps1_subject1_frames_1_180_state_fixture_window_0021	jumps1_subject1_frames_1_180_state_fixture	210	test	True	[21, 99]	[21, 32]	[21, 131]	synthetic_zero_placeholder_for_schema_only	accepted_debug_fixture_no_live_stability_check	True
jumps1_subject1_frames_1_180_state_fixture_window_0022	jumps1_subject1_frames_1_180_state_fixture	220	test	True	[21, 99]	[21, 32]	[21, 131]	synthetic_zero_placeholder_for_schema_only	accepted_debug_fixture_no_live_stability_check	True
jumps1_subject1_frames_1_180_state_fixture_window_0023	jumps1_subject1_frames_1_180_state_fixture	230	test	True	[21, 99]	[21, 32]	[21, 131]	synthetic_zero_placeholder_for_schema_only	accepted_debug_fixture_no_live_stability_check	True
jumps1_subject1_frames_1_180_state_fixture_window_0024	jumps1_subject1_frames_1_180_state_fixture	240	test	True	[21, 99]	[21, 32]	[21, 131]	synthetic_zero_placeholder_for_schema_only	accepted_debug_fixture_no_live_stability_check	True
jumps1_subject1_frames_1_180_state_fixture_window_0025	jumps1_subject1_frames_1_180_state_fixture	250	test	True	[21, 99]	[21, 32]	[21, 131]	synthetic_zero_placeholder_for_schema_only	accepted_debug_fixture_no_live_stability_check	True
jumps1_subject1_frames_1_180_state_fixture_window_0026	jumps1_subject1_frames_1_180_state_fixture	260	test	True	[21, 99]	[21, 32]	[21, 131]	synthetic_zero_placeholder_for_schema_only	accepted_debug_fixture_no_live_stability_check	True
jumps1_subject1_frames_1_180_state_fixture_window_0027	jumps1_subject1_frames_1_180_state_fixture	270	test	True	[21, 99]	[21, 32]	[21, 131]	synthetic_zero_placeholder_for_schema_only	accepted_debug_fixture_no_live_stability_check	True
