motion,x_spread_mean_m,x_spread_p95_m,x_spread_max_m,y_spread_mean_m,y_spread_p95_m,y_spread_max_m,z_spread_mean_m,z_spread_p95_m,z_spread_max_m,max_abs_body_minus_body0_m,max_abs_body_minus_body0_z_m,pelvis_z_mean_m,left_ankle_roll_link_z_mean_m,right_ankle_roll_link_z_mean_m,torso_link_z_mean_m,left_wrist_yaw_link_z_mean_m,right_wrist_yaw_link_z_mean_m
run1_subject5,0.3084060549736023,0.6023811101913452,0.6488430500030518,0.7280783653259277,1.0953365564346313,1.096044898033142,1.2222651243209839,1.248004674911499,1.248045563697815,0.7881240248680115,0.7881240248680115,0.7731367349624634,0.051386553794145584,0.057067107409238815,0.8171531558036804,0.8962231874465942,0.8877739906311035
run2_subject1,0.21553963422775269,0.5449991226196289,0.656388521194458,0.7069717645645142,1.074951410293579,1.0932929515838623,1.226410984992981,1.2513381242752075,1.2513777017593384,0.7919509410858154,0.7919509410858154,0.7862730622291565,0.05512937903404236,0.051763828843832016,0.829875648021698,0.8706007599830627,0.8796162009239197
run2_subject4,0.29329246282577515,0.5738101601600647,0.5905657410621643,0.7446984648704529,1.069858193397522,1.0815510749816895,1.1937748193740845,1.246849536895752,1.2468961477279663,0.7867950201034546,0.7867950201034546,0.7663426399230957,0.0821666345000267,0.08366239070892334,0.8101645708084106,0.9109846353530884,0.89682936668396
sprint1_subject2,0.26425865292549133,0.4488479793071747,0.4627680480480194,0.6453263163566589,1.0292255878448486,1.0779001712799072,1.2272931337356567,1.2399516105651855,1.2423139810562134,0.7830995321273804,0.7830995321273804,0.776909589767456,0.06056149676442146,0.05050100386142731,0.8210320472717285,0.8735584020614624,0.842562198638916
sprint1_subject4,0.24219240248203278,0.46771663427352905,0.580236554145813,0.7392354011535645,1.0637128353118896,1.0849862098693848,1.236261248588562,1.2461869716644287,1.2462713718414307,0.7862476110458374,0.7862476110458374,0.7809112668037415,0.04402884840965271,0.051387641578912735,0.8248627781867981,0.9562055468559265,0.953511118888855
walk1_subject1,0.21775226294994354,0.5182167291641235,0.5467399954795837,0.6848770380020142,1.0874478816986084,1.091596245765686,1.2378766536712646,1.2502204179763794,1.250506043434143,0.7905769348144531,0.7905769348144531,0.7870843410491943,0.05408383533358574,0.058071430772542953,0.8311811685562134,0.9128309488296509,0.8955039381980896
walk1_subject2,0.2552761733531952,0.4226314425468445,0.45000308752059937,0.6582165956497192,1.0304820537567139,1.0642807483673096,1.2275519371032715,1.2396224737167358,1.2433797121047974,0.7834288477897644,0.7834288477897644,0.7746763229370117,0.04904942214488983,0.0448901504278183,0.8187422156333923,0.8787747621536255,0.8801938891410828
walk1_subject5,0.27267658710479736,0.561745822429657,0.6552667617797852,0.6974057555198669,1.0938960313796997,1.0947810411453247,1.2247334718704224,1.2473523616790771,1.247402310371399,0.7879924774169922,0.7879924774169922,0.773344099521637,0.056815896183252335,0.05088884383440018,0.8174497485160828,0.8735800385475159,0.8651167750358582
walk2_subject1,0.2736912965774536,0.4208521842956543,0.43547144532203674,0.7053285837173462,1.0518670082092285,1.0810149908065796,1.2404189109802246,1.2500721216201782,1.2513487339019775,0.791418731212616,0.791418731212616,0.7900610566139221,0.05888998880982399,0.0560004822909832,0.8335773348808289,0.9115499258041382,0.8957750201225281
walk2_subject3,0.19320844113826752,0.25687694549560547,0.2650276720523834,0.7892986536026001,1.0730512142181396,1.0916054248809814,1.230483055114746,1.241215705871582,1.2413341999053955,0.7812510132789612,0.7812510132789612,0.7748940587043762,0.041470229625701904,0.04286698251962662,0.818524956703186,0.9333379864692688,0.9323408007621765
walk2_subject4,0.20190899074077606,0.4167105257511139,0.43234339356422424,0.7318914532661438,1.0629230737686157,1.072364330291748,1.2437974214553833,1.2460682392120361,1.246412992477417,0.7861863374710083,0.7861863374710083,0.7873768210411072,0.04111628234386444,0.04023158177733421,0.8313239812850952,0.971503496170044,0.9646735191345215
walk3_subject1,0.17828020453453064,0.24511414766311646,0.25105080008506775,0.6111056208610535,1.0440852642059326,1.0798523426055908,1.242315649986267,1.2514153718948364,1.25244140625,0.7923838496208191,0.7923838496208191,0.7932138442993164,0.05113793537020683,0.053883496671915054,0.8369992971420288,0.8200138807296753,0.827111005783081
walk3_subject2,0.2570245563983917,0.31515613198280334,0.34838688373565674,0.5821431875228882,0.9420245885848999,1.0016545057296753,1.216173529624939,1.2256954908370972,1.233850359916687,0.7760412693023682,0.7760412693023682,0.7697892785072327,0.04459971934556961,0.037965405732393265,0.813798725605011,0.8371189832687378,0.8306167721748352
walk3_subject3,0.24984414875507355,0.4459775388240814,0.4637756943702698,0.6496331095695496,1.0796130895614624,1.0918285846710205,1.2048476934432983,1.241773009300232,1.2423018217086792,0.7821252346038818,0.7821252346038818,0.7680871486663818,0.06266947090625763,0.05635222792625427,0.8119729161262512,0.8553337454795837,0.8452742695808411
walk3_subject4,0.2853495180606842,0.4385986328125,0.47776514291763306,0.619879961013794,1.057888388633728,1.0716243982315063,1.2337265014648438,1.2469927072525024,1.2470768690109253,0.7870702147483826,0.7870702147483826,0.7825952172279358,0.05790727585554123,0.0640912875533104,0.8263643383979797,0.8866229057312012,0.8759045004844666
walk3_subject5,0.3220222592353821,0.5955233573913574,0.6296511888504028,0.6827256679534912,1.0882916450500488,1.0923222303390503,1.087217926979065,1.2465060949325562,1.2465375661849976,0.7873339056968689,0.7873339056968689,0.6913766860961914,0.06464864313602448,0.0557151660323143,0.7352028489112854,0.7578272223472595,0.7382749915122986
walk4_subject1,0.17459750175476074,0.31484541296958923,0.32466840744018555,0.7061947584152222,1.0718008279800415,1.0950719118118286,1.2116601467132568,1.251326322555542,1.2518707513809204,0.7917048931121826,0.7917048931121826,0.7861340045928955,0.0507948137819767,0.0496026836335659,0.8298872709274292,0.8581898212432861,0.8612253665924072
