motion	input_csv	input_csv_sha256	start_frame	end_frame_exclusive	frame_count	fps	joint_shape	body_shape
jumps1_subject1	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/jumps1_subject1.csv	3f55c1a0f87564044a71817d62dc2a40aa76332aa1cab3f1c817333a197c78c2	5681	5980	299	50	[299, 29]	[299, 40, 3]
jumps1_subject2	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/jumps1_subject2.csv	fde765a738e3aa586be3694163795502d4dc932757178956f4512e7c9d317a58	5980	6279	299	50	[299, 29]	[299, 40, 3]
jumps1_subject5	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/jumps1_subject5.csv	2f678d598faa9746aff778e92518970f51f0b1e08a10f05d0423a7cda3b9183c	6279	6578	299	50	[299, 29]	[299, 40, 3]
run1_subject2	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/run1_subject2.csv	ec02af4447a62214a6fec6afff60c75d0ecc8f80f8fb45e3cd4119fed9ceac8d	6578	6877	299	50	[299, 29]	[299, 40, 3]
run1_subject5	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/run1_subject5.csv	eacc38d7d6f5d7f32bfefcdf5d91510fea5f815000be870f91cc6e3483a126f6	6877	7176	299	50	[299, 29]	[299, 40, 3]
run2_subject1	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/run2_subject1.csv	ae64767c4b4e8f59578c22c5848cefc569923fea8bd3755c8dfb02b5313773da	7176	7475	299	50	[299, 29]	[299, 40, 3]
run2_subject4	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/run2_subject4.csv	2f0331426b74be03e87a2364733f8bf3262debdea54ab2c5059c2b707cff06f7	7475	7774	299	50	[299, 29]	[299, 40, 3]
sprint1_subject2	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/sprint1_subject2.csv	7babbd9d0a3cebf040709cb75fbf4268e925e337a2d44600dcce3d3b2d24a818	7774	8073	299	50	[299, 29]	[299, 40, 3]
sprint1_subject4	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/sprint1_subject4.csv	96d207b15323ef823274aa73ea1c2aaea7e98b4fe0f6de217332763bdf04ce00	8073	8372	299	50	[299, 29]	[299, 40, 3]
walk1_subject1	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/walk1_subject1.csv	68c7887438e94f1f3d9ebacd3a8ce59251a22c7b05129a0f5d7cacaedc48c28d	8372	8671	299	50	[299, 29]	[299, 40, 3]
walk1_subject2	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/walk1_subject2.csv	f8e6ccd5df574dcc5343a0a83d12efddfb5b34578b8b2f00582cb8098ed7fffc	8671	8970	299	50	[299, 29]	[299, 40, 3]
walk1_subject5	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/walk1_subject5.csv	5421216dfbd2f16a90b5a7a52d4530b6269f7f9407f7ccfd09b5e5d3a72117af	8970	9269	299	50	[299, 29]	[299, 40, 3]
walk2_subject1	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/walk2_subject1.csv	51cf310f14ecbb8be1f41ea09345df0c89024ff884fb9ab881cac339f820c787	9269	9568	299	50	[299, 29]	[299, 40, 3]
walk2_subject3	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/walk2_subject3.csv	43a4342a9534ebb49e0dd9ef11ff40bf8a11d4925dac86352ebc7e7ae1220644	9568	9867	299	50	[299, 29]	[299, 40, 3]
walk2_subject4	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/walk2_subject4.csv	d8e8d0383a64f0277218c0c490d55e4fcc20bd14776c0c8772f38a0cd4b88679	9867	10166	299	50	[299, 29]	[299, 40, 3]
walk3_subject1	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/walk3_subject1.csv	22ab870d9957a62c1dfe3c1ec0a8a9af84c6c965065fff6fc936c3fac21d16eb	10166	10465	299	50	[299, 29]	[299, 40, 3]
walk3_subject2	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/walk3_subject2.csv	55e8b8fe0e6a9a62b1f437985c4456055d750c75f46a17adbcbe3392fd33c674	10465	10764	299	50	[299, 29]	[299, 40, 3]
walk3_subject3	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/walk3_subject3.csv	2819b75eceef11856e9c3e7aea931eafcd03dddb0d5c1f68353ba0b3dd9fc574	10764	11063	299	50	[299, 29]	[299, 40, 3]
walk3_subject4	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/walk3_subject4.csv	11a79dd8c534a562b99abdb42a221064b2b2166948d088f7ca9b63ac13f25368	11063	11362	299	50	[299, 29]	[299, 40, 3]
walk3_subject5	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/walk3_subject5.csv	2f2878a45d6345d78d5f7a1d35ab05cc96cf5d22b1be822bb4b07eab99096b85	11362	11661	299	50	[299, 29]	[299, 40, 3]
walk4_subject1	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/walk4_subject1.csv	03fe681190873e70d2b5635dc35aa228084136fcd61f1a0dcfcd6c25e12cdbaa	11661	11960	299	50	[299, 29]	[299, 40, 3]
