sample_id	source_motion	source_csv	source_csv_sha256	fixture_npz	fixture_npz_sha256	start_timestep	end_timestep	center_timestep	state_frame	latent	augmentation	accept_reject	split	window_length	history	horizon
walk1_subject1_window_0011	walk1_subject1	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/walk1_subject1.csv	68c7887438e94f1f3d9ebacd3a8ce59251a22c7b05129a0f5d7cacaedc48c28d	/mnt/infini-data/test/BeyondMimic/reproduction/data/level_c_fixtures/walk1_subject1_frames_1_180_state_fixture.npz	1ad01bb5c3824fd0d43e133d7d2ce874d829c5213898fa34bdebf563bfcb0fbd	110	130	114	candidate_hybrid_character_yaw_centric	missing_no_teacher_or_vae_latent	none_original_fixture	accepted_debug_fixture_no_live_stability_check	train	21	4	16
walk1_subject1_window_0012	walk1_subject1	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/walk1_subject1.csv	68c7887438e94f1f3d9ebacd3a8ce59251a22c7b05129a0f5d7cacaedc48c28d	/mnt/infini-data/test/BeyondMimic/reproduction/data/level_c_fixtures/walk1_subject1_frames_1_180_state_fixture.npz	1ad01bb5c3824fd0d43e133d7d2ce874d829c5213898fa34bdebf563bfcb0fbd	120	140	124	candidate_hybrid_character_yaw_centric	missing_no_teacher_or_vae_latent	none_original_fixture	accepted_debug_fixture_no_live_stability_check	train	21	4	16
walk1_subject1_window_0013	walk1_subject1	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/walk1_subject1.csv	68c7887438e94f1f3d9ebacd3a8ce59251a22c7b05129a0f5d7cacaedc48c28d	/mnt/infini-data/test/BeyondMimic/reproduction/data/level_c_fixtures/walk1_subject1_frames_1_180_state_fixture.npz	1ad01bb5c3824fd0d43e133d7d2ce874d829c5213898fa34bdebf563bfcb0fbd	130	150	134	candidate_hybrid_character_yaw_centric	missing_no_teacher_or_vae_latent	none_original_fixture	accepted_debug_fixture_no_live_stability_check	train	21	4	16
walk1_subject1_window_0014	walk1_subject1	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/walk1_subject1.csv	68c7887438e94f1f3d9ebacd3a8ce59251a22c7b05129a0f5d7cacaedc48c28d	/mnt/infini-data/test/BeyondMimic/reproduction/data/level_c_fixtures/walk1_subject1_frames_1_180_state_fixture.npz	1ad01bb5c3824fd0d43e133d7d2ce874d829c5213898fa34bdebf563bfcb0fbd	140	160	144	candidate_hybrid_character_yaw_centric	missing_no_teacher_or_vae_latent	none_original_fixture	accepted_debug_fixture_no_live_stability_check	train	21	4	16
walk1_subject1_window_0015	walk1_subject1	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/walk1_subject1.csv	68c7887438e94f1f3d9ebacd3a8ce59251a22c7b05129a0f5d7cacaedc48c28d	/mnt/infini-data/test/BeyondMimic/reproduction/data/level_c_fixtures/walk1_subject1_frames_1_180_state_fixture.npz	1ad01bb5c3824fd0d43e133d7d2ce874d829c5213898fa34bdebf563bfcb0fbd	150	170	154	candidate_hybrid_character_yaw_centric	missing_no_teacher_or_vae_latent	none_original_fixture	accepted_debug_fixture_no_live_stability_check	train	21	4	16
walk1_subject1_window_0016	walk1_subject1	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/walk1_subject1.csv	68c7887438e94f1f3d9ebacd3a8ce59251a22c7b05129a0f5d7cacaedc48c28d	/mnt/infini-data/test/BeyondMimic/reproduction/data/level_c_fixtures/walk1_subject1_frames_1_180_state_fixture.npz	1ad01bb5c3824fd0d43e133d7d2ce874d829c5213898fa34bdebf563bfcb0fbd	160	180	164	candidate_hybrid_character_yaw_centric	missing_no_teacher_or_vae_latent	none_original_fixture	accepted_debug_fixture_no_live_stability_check	train	21	4	16
walk1_subject1_window_0017	walk1_subject1	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/walk1_subject1.csv	68c7887438e94f1f3d9ebacd3a8ce59251a22c7b05129a0f5d7cacaedc48c28d	/mnt/infini-data/test/BeyondMimic/reproduction/data/level_c_fixtures/walk1_subject1_frames_1_180_state_fixture.npz	1ad01bb5c3824fd0d43e133d7d2ce874d829c5213898fa34bdebf563bfcb0fbd	170	190	174	candidate_hybrid_character_yaw_centric	missing_no_teacher_or_vae_latent	none_original_fixture	accepted_debug_fixture_no_live_stability_check	excluded_guard_gap	21	4	16
walk1_subject1_window_0018	walk1_subject1	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/walk1_subject1.csv	68c7887438e94f1f3d9ebacd3a8ce59251a22c7b05129a0f5d7cacaedc48c28d	/mnt/infini-data/test/BeyondMimic/reproduction/data/level_c_fixtures/walk1_subject1_frames_1_180_state_fixture.npz	1ad01bb5c3824fd0d43e133d7d2ce874d829c5213898fa34bdebf563bfcb0fbd	180	200	184	candidate_hybrid_character_yaw_centric	missing_no_teacher_or_vae_latent	none_original_fixture	accepted_debug_fixture_no_live_stability_check	excluded_guard_gap	21	4	16
walk1_subject1_window_0019	walk1_subject1	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/walk1_subject1.csv	68c7887438e94f1f3d9ebacd3a8ce59251a22c7b05129a0f5d7cacaedc48c28d	/mnt/infini-data/test/BeyondMimic/reproduction/data/level_c_fixtures/walk1_subject1_frames_1_180_state_fixture.npz	1ad01bb5c3824fd0d43e133d7d2ce874d829c5213898fa34bdebf563bfcb0fbd	190	210	194	candidate_hybrid_character_yaw_centric	missing_no_teacher_or_vae_latent	none_original_fixture	accepted_debug_fixture_no_live_stability_check	validation	21	4	16
walk1_subject1_window_0020	walk1_subject1	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/walk1_subject1.csv	68c7887438e94f1f3d9ebacd3a8ce59251a22c7b05129a0f5d7cacaedc48c28d	/mnt/infini-data/test/BeyondMimic/reproduction/data/level_c_fixtures/walk1_subject1_frames_1_180_state_fixture.npz	1ad01bb5c3824fd0d43e133d7d2ce874d829c5213898fa34bdebf563bfcb0fbd	200	220	204	candidate_hybrid_character_yaw_centric	missing_no_teacher_or_vae_latent	none_original_fixture	accepted_debug_fixture_no_live_stability_check	validation	21	4	16
walk1_subject1_window_0021	walk1_subject1	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/walk1_subject1.csv	68c7887438e94f1f3d9ebacd3a8ce59251a22c7b05129a0f5d7cacaedc48c28d	/mnt/infini-data/test/BeyondMimic/reproduction/data/level_c_fixtures/walk1_subject1_frames_1_180_state_fixture.npz	1ad01bb5c3824fd0d43e133d7d2ce874d829c5213898fa34bdebf563bfcb0fbd	210	230	214	candidate_hybrid_character_yaw_centric	missing_no_teacher_or_vae_latent	none_original_fixture	accepted_debug_fixture_no_live_stability_check	validation	21	4	16
walk1_subject1_window_0022	walk1_subject1	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/walk1_subject1.csv	68c7887438e94f1f3d9ebacd3a8ce59251a22c7b05129a0f5d7cacaedc48c28d	/mnt/infini-data/test/BeyondMimic/reproduction/data/level_c_fixtures/walk1_subject1_frames_1_180_state_fixture.npz	1ad01bb5c3824fd0d43e133d7d2ce874d829c5213898fa34bdebf563bfcb0fbd	220	240	224	candidate_hybrid_character_yaw_centric	missing_no_teacher_or_vae_latent	none_original_fixture	accepted_debug_fixture_no_live_stability_check	excluded_guard_gap	21	4	16
walk1_subject1_window_0023	walk1_subject1	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/walk1_subject1.csv	68c7887438e94f1f3d9ebacd3a8ce59251a22c7b05129a0f5d7cacaedc48c28d	/mnt/infini-data/test/BeyondMimic/reproduction/data/level_c_fixtures/walk1_subject1_frames_1_180_state_fixture.npz	1ad01bb5c3824fd0d43e133d7d2ce874d829c5213898fa34bdebf563bfcb0fbd	230	250	234	candidate_hybrid_character_yaw_centric	missing_no_teacher_or_vae_latent	none_original_fixture	accepted_debug_fixture_no_live_stability_check	excluded_guard_gap	21	4	16
walk1_subject1_window_0024	walk1_subject1	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/walk1_subject1.csv	68c7887438e94f1f3d9ebacd3a8ce59251a22c7b05129a0f5d7cacaedc48c28d	/mnt/infini-data/test/BeyondMimic/reproduction/data/level_c_fixtures/walk1_subject1_frames_1_180_state_fixture.npz	1ad01bb5c3824fd0d43e133d7d2ce874d829c5213898fa34bdebf563bfcb0fbd	240	260	244	candidate_hybrid_character_yaw_centric	missing_no_teacher_or_vae_latent	none_original_fixture	accepted_debug_fixture_no_live_stability_check	test	21	4	16
walk1_subject1_window_0025	walk1_subject1	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/walk1_subject1.csv	68c7887438e94f1f3d9ebacd3a8ce59251a22c7b05129a0f5d7cacaedc48c28d	/mnt/infini-data/test/BeyondMimic/reproduction/data/level_c_fixtures/walk1_subject1_frames_1_180_state_fixture.npz	1ad01bb5c3824fd0d43e133d7d2ce874d829c5213898fa34bdebf563bfcb0fbd	250	270	254	candidate_hybrid_character_yaw_centric	missing_no_teacher_or_vae_latent	none_original_fixture	accepted_debug_fixture_no_live_stability_check	test	21	4	16
walk1_subject1_window_0026	walk1_subject1	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/walk1_subject1.csv	68c7887438e94f1f3d9ebacd3a8ce59251a22c7b05129a0f5d7cacaedc48c28d	/mnt/infini-data/test/BeyondMimic/reproduction/data/level_c_fixtures/walk1_subject1_frames_1_180_state_fixture.npz	1ad01bb5c3824fd0d43e133d7d2ce874d829c5213898fa34bdebf563bfcb0fbd	260	280	264	candidate_hybrid_character_yaw_centric	missing_no_teacher_or_vae_latent	none_original_fixture	accepted_debug_fixture_no_live_stability_check	test	21	4	16
walk1_subject1_window_0027	walk1_subject1	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/walk1_subject1.csv	68c7887438e94f1f3d9ebacd3a8ce59251a22c7b05129a0f5d7cacaedc48c28d	/mnt/infini-data/test/BeyondMimic/reproduction/data/level_c_fixtures/walk1_subject1_frames_1_180_state_fixture.npz	1ad01bb5c3824fd0d43e133d7d2ce874d829c5213898fa34bdebf563bfcb0fbd	270	290	274	candidate_hybrid_character_yaw_centric	missing_no_teacher_or_vae_latent	none_original_fixture	accepted_debug_fixture_no_live_stability_check	test	21	4	16
